Header	RF	SVM
>Sequence8101	0.3	0.338
>Sequence8102	0.3	0.492
>Sequence8103	0.45	0.594
>Sequence8104	0.35	0.568
>Sequence8105	0.4	0.176
>Sequence8106	0.4	0.488
>Sequence8107	0.5	0.756
>Sequence8108	0.35	0.327
>Sequence8109	0.45	0.763
>Sequence8110	0.45	0.358
>Sequence8111	0.45	0.305
>Sequence8112	0.5	0.24
>Sequence8113	0.45	0.246
>Sequence8114	0.3	0.127
>Sequence8115	0.45	0.364
>Sequence8116	0.45	0.256
>Sequence8117	0.45	0.722
>Sequence8118	0.45	0.23
>Sequence8119	0.55	0.378
>Sequence8120	0.6	0.193
>Sequence8121	0.4	0.763
>Sequence8122	0.45	0.48
>Sequence8123	0.45	0.263
>Sequence8124	0.55	0.552
>Sequence8125	0.4	0.74
>Sequence8126	0.35	0.219
>Sequence8127	0.55	0.442
>Sequence8128	0.4	0.511
>Sequence8129	0.45	0.491
>Sequence8130	0.5	0.492
>Sequence8131	0.3	0.522
>Sequence8132	0.5	0.452
>Sequence8133	0.5	0.643
>Sequence8134	0.45	0.328
>Sequence8135	0.4	0.764
>Sequence8136	0.35	0.2
>Sequence8137	0.5	0.709
>Sequence8138	0.6	0.605
>Sequence8139	0.55	0.359
>Sequence8140	0.5	0.661
>Sequence8141	0.4	0.325
>Sequence8142	0.35	0.426
>Sequence8143	0.45	0.336
>Sequence8144	0.35	0.518
>Sequence8145	0.5	0.748
>Sequence8146	0.45	0.614
>Sequence8147	0.55	0.715
>Sequence8148	0.4	0.314
>Sequence8149	0.55	0.447
>Sequence8150	0.4	0.455
>Sequence8151	0.5	0.706
>Sequence8152	0.35	0.214
>Sequence8153	0.45	0.546
>Sequence8154	0.45	0.752
>Sequence8155	0.3	0.216
>Sequence8156	0.5	0.529
>Sequence8157	0.5	0.806
>Sequence8158	0.4	0.414
>Sequence8159	0.35	0.688
>Sequence8160	0.5	0.444
>Sequence8161	0.4	0.45
>Sequence8162	0.4	0.765
>Sequence8163	0.45	0.802
>Sequence8164	0.5	0.38
>Sequence8165	0.4	0.301
>Sequence8166	0.45	0.813
>Sequence8167	0.5	0.495
>Sequence8168	0.4	0.251
>Sequence8169	0.5	0.744
>Sequence8170	0.45	0.344
>Sequence8171	0.45	0.712
>Sequence8172	0.5	0.79
>Sequence8173	0.35	0.678
>Sequence8174	0.55	0.388
>Sequence8175	0.6	0.203
>Sequence8176	0.5	0.19
>Sequence8177	0.2	0.113
>Sequence8178	0.25	0.477
>Sequence8179	0.45	0.791
>Sequence8180	0.5	0.711
>Sequence8181	0.5	0.225
>Sequence8182	0.55	0.299
>Sequence8183	0.45	0.724
>Sequence8184	0.45	0.405
>Sequence8185	0.45	0.588
>Sequence8186	0.6	0.231
>Sequence8187	0.35	0.797
>Sequence8188	0.5	0.323
>Sequence8189	0.45	0.289
>Sequence8190	0.45	0.812
>Sequence8191	0.4	0.736
>Sequence8192	0.4	0.676
>Sequence8193	0.35	0.594
>Sequence8194	0.4	0.79
>Sequence8195	0.5	0.282
>Sequence8196	0.4	0.112
>Sequence8197	0.4	0.839
>Sequence8198	0.45	0.181
>Sequence8199	0.45	0.729
>Sequence8200	0.5	0.235
