Header	RF	SVM
>Sequence13601	0.45	0.749
>Sequence13602	0.4	0.522
>Sequence13603	0.35	0.666
>Sequence13604	0.4	0.299
>Sequence13605	0.4	0.541
>Sequence13606	0.55	0.697
>Sequence13607	0.4	0.657
>Sequence13608	0.5	0.256
>Sequence13609	0.35	0.144
>Sequence13610	0.55	0.153
>Sequence13611	0.45	0.46
>Sequence13612	0.5	0.101
>Sequence13613	0.45	0.709
>Sequence13614	0.55	0.522
>Sequence13615	0.4	0.169
>Sequence13616	0.5	0.77
>Sequence13617	0.35	0.271
>Sequence13618	0.4	0.298
>Sequence13619	0.45	0.774
>Sequence13620	0.5	0.776
>Sequence13621	0.5	0.61
>Sequence13622	0.55	0.221
>Sequence13623	0.5	0.809
>Sequence13624	0.5	0.142
>Sequence13625	0.45	0.192
>Sequence13626	0.45	0.761
>Sequence13627	0.4	0.52
>Sequence13628	0.35	0.463
>Sequence13629	0.5	0.697
>Sequence13630	0.45	0.184
>Sequence13631	0.55	0.239
>Sequence13632	0.45	0.589
>Sequence13633	0.4	0.834
>Sequence13634	0.4	0.773
>Sequence13635	0.4	0.221
>Sequence13636	0.4	0.762
>Sequence13637	0.4	0.718
>Sequence13638	0.4	0.811
>Sequence13639	0.5	0.309
>Sequence13640	0.3	0.126
>Sequence13641	0.35	0.791
>Sequence13642	0.35	0.744
>Sequence13643	0.55	0.756
>Sequence13644	0.4	0.279
>Sequence13645	0.25	0.176
>Sequence13646	0.35	0.093
>Sequence13647	0.6	0.364
>Sequence13648	0.5	0.682
>Sequence13649	0.35	0.659
>Sequence13650	0.4	0.716
>Sequence13651	0.55	0.28
>Sequence13652	0.3	0.219
>Sequence13653	0.45	0.872
>Sequence13654	0.3	0.583
>Sequence13655	0.4	0.764
>Sequence13656	0.5	0.332
>Sequence13657	0.3	0.164
>Sequence13658	0.5	0.397
>Sequence13659	0.45	0.715
>Sequence13660	0.5	0.428
>Sequence13661	0.45	0.591
>Sequence13662	0.5	0.731
>Sequence13663	0.45	0.778
>Sequence13664	0.6	0.689
>Sequence13665	0.5	0.531
>Sequence13666	0.45	0.744
>Sequence13667	0.4	0.211
>Sequence13668	0.35	0.357
>Sequence13669	0.4	0.777
>Sequence13670	0.45	0.814
>Sequence13671	0.5	0.249
>Sequence13672	0.35	0.24
>Sequence13673	0.5	0.247
>Sequence13674	0.4	0.113
>Sequence13675	0.55	0.707
>Sequence13676	0.35	0.745
>Sequence13677	0.6	0.8
>Sequence13678	0.5	0.732
>Sequence13679	0.45	0.197
>Sequence13680	0.35	0.64
>Sequence13681	0.5	0.768
>Sequence13682	0.4	0.55
>Sequence13683	0.45	0.652
>Sequence13684	0.45	0.581
>Sequence13685	0.4	0.626
>Sequence13686	0.55	0.231
>Sequence13687	0.45	0.407
>Sequence13688	0.5	0.334
>Sequence13689	0.45	0.783
>Sequence13690	0.55	0.352
>Sequence13691	0.5	0.832
>Sequence13692	0.55	0.798
>Sequence13693	0.5	0.405
>Sequence13694	0.45	0.73
>Sequence13695	0.55	0.303
>Sequence13696	0.55	0.441
>Sequence13697	0.35	0.371
>Sequence13698	0.4	0.769
>Sequence13699	0.4	0.578
>Sequence13700	0.45	0.654
