Header	RF	SVM
>Sequence5301	0.4	0.397
>Sequence5302	0.5	0.851
>Sequence5303	0.35	0.263
>Sequence5304	0.35	0.709
>Sequence5305	0.5	0.351
>Sequence5306	0.35	0.252
>Sequence5307	0.35	0.274
>Sequence5308	0.35	0.243
>Sequence5309	0.45	0.226
>Sequence5310	0.5	0.235
>Sequence5311	0.4	0.232
>Sequence5312	0.4	0.141
>Sequence5313	0.45	0.634
>Sequence5314	0.45	0.117
>Sequence5315	0.45	0.709
>Sequence5316	0.55	0.329
>Sequence5317	0.55	0.156
>Sequence5318	0.35	0.623
>Sequence5319	0.4	0.55
>Sequence5320	0.4	0.749
>Sequence5321	0.45	0.305
>Sequence5322	0.4	0.752
>Sequence5323	0.6	0.307
>Sequence5324	0.4	0.794
>Sequence5325	0.4	0.206
>Sequence5326	0.5	0.836
>Sequence5327	0.7	0.22
>Sequence5328	0.45	0.234
>Sequence5329	0.3	0.761
>Sequence5330	0.45	0.351
>Sequence5331	0.6	0.255
>Sequence5332	0.45	0.717
>Sequence5333	0.5	0.784
>Sequence5334	0.45	0.593
>Sequence5335	0.45	0.428
>Sequence5336	0.4	0.213
>Sequence5337	0.45	0.327
>Sequence5338	0.3	0.547
>Sequence5339	0.5	0.351
>Sequence5340	0.4	0.187
>Sequence5341	0.45	0.739
>Sequence5342	0.35	0.411
>Sequence5343	0.5	0.552
>Sequence5344	0.4	0.703
>Sequence5345	0.4	0.735
>Sequence5346	0.45	0.73
>Sequence5347	0.45	0.298
>Sequence5348	0.45	0.791
>Sequence5349	0.55	0.227
>Sequence5350	0.35	0.715
>Sequence5351	0.45	0.636
>Sequence5352	0.4	0.703
>Sequence5353	0.4	0.285
>Sequence5354	0.55	0.471
>Sequence5355	0.45	0.748
>Sequence5356	0.35	0.209
>Sequence5357	0.55	0.777
>Sequence5358	0.55	0.154
>Sequence5359	0.45	0.793
>Sequence5360	0.55	0.291
>Sequence5361	0.55	0.79
>Sequence5362	0.6	0.3
>Sequence5363	0.35	0.22
>Sequence5364	0.5	0.679
>Sequence5365	0.5	0.77
>Sequence5366	0.45	0.807
>Sequence5367	0.4	0.716
>Sequence5368	0.3	0.219
>Sequence5369	0.4	0.399
>Sequence5370	0.4	0.804
>Sequence5371	0.45	0.675
>Sequence5372	0.45	0.247
>Sequence5373	0.45	0.678
>Sequence5374	0.4	0.236
>Sequence5375	0.5	0.828
>Sequence5376	0.35	0.681
>Sequence5377	0.55	0.306
>Sequence5378	0.3	0.475
>Sequence5379	0.4	0.721
>Sequence5380	0.45	0.412
>Sequence5381	0.5	0.744
>Sequence5382	0.45	0.129
>Sequence5383	0.4	0.136
>Sequence5384	0.55	0.234
>Sequence5385	0.5	0.742
>Sequence5386	0.4	0.773
>Sequence5387	0.4	0.157
>Sequence5388	0.4	0.249
>Sequence5389	0.35	0.719
>Sequence5390	0.55	0.227
>Sequence5391	0.55	0.21
>Sequence5392	0.55	0.457
>Sequence5393	0.55	0.363
>Sequence5394	0.6	0.313
>Sequence5395	0.35	0.138
>Sequence5396	0.45	0.719
>Sequence5397	0.4	0.215
>Sequence5398	0.45	0.105
>Sequence5399	0.4	0.587
>Sequence5400	0.4	0.545
