Header	RF	SVM
>Sequence11701	0.3	0.552
>Sequence11702	0.4	0.18
>Sequence11703	0.45	0.261
>Sequence11704	0.35	0.32
>Sequence11705	0.35	0.364
>Sequence11706	0.4	0.332
>Sequence11707	0.45	0.708
>Sequence11708	0.45	0.688
>Sequence11709	0.4	0.277
>Sequence11710	0.45	0.462
>Sequence11711	0.45	0.675
>Sequence11712	0.45	0.756
>Sequence11713	0.6	0.68
>Sequence11714	0.5	0.767
>Sequence11715	0.4	0.842
>Sequence11716	0.45	0.341
>Sequence11717	0.5	0.452
>Sequence11718	0.5	0.782
>Sequence11719	0.4	0.624
>Sequence11720	0.45	0.6
>Sequence11721	0.45	0.794
>Sequence11722	0.5	0.547
>Sequence11723	0.5	0.292
>Sequence11724	0.55	0.821
>Sequence11725	0.35	0.832
>Sequence11726	0.5	0.624
>Sequence11727	0.2	0.235
>Sequence11728	0.35	0.257
>Sequence11729	0.4	0.29
>Sequence11730	0.4	0.276
>Sequence11731	0.4	0.782
>Sequence11732	0.35	0.234
>Sequence11733	0.55	0.21
>Sequence11734	0.55	0.327
>Sequence11735	0.5	0.689
>Sequence11736	0.55	0.367
>Sequence11737	0.5	0.851
>Sequence11738	0.45	0.599
>Sequence11739	0.4	0.219
>Sequence11740	0.5	0.373
>Sequence11741	0.3	0.179
>Sequence11742	0.4	0.615
>Sequence11743	0.3	0.661
>Sequence11744	0.45	0.417
>Sequence11745	0.5	0.271
>Sequence11746	0.45	0.758
>Sequence11747	0.55	0.787
>Sequence11748	0.4	0.143
>Sequence11749	0.2	0.339
>Sequence11750	0.3	0.12
>Sequence11751	0.4	0.262
>Sequence11752	0.45	0.787
>Sequence11753	0.45	0.761
>Sequence11754	0.2	0.385
>Sequence11755	0.25	0.132
>Sequence11756	0.4	0.755
>Sequence11757	0.45	0.6
>Sequence11758	0.55	0.811
>Sequence11759	0.35	0.722
>Sequence11760	0.5	0.277
>Sequence11761	0.55	0.734
>Sequence11762	0.45	0.386
>Sequence11763	0.4	0.875
>Sequence11764	0.45	0.781
>Sequence11765	0.45	0.756
>Sequence11766	0.15	0.351
>Sequence11767	0.45	0.78
>Sequence11768	0.5	0.824
>Sequence11769	0.25	0.363
>Sequence11770	0.5	0.741
>Sequence11771	0.35	0.178
>Sequence11772	0.45	0.728
>Sequence11773	0.55	0.612
>Sequence11774	0.55	0.646
>Sequence11775	0.45	0.624
>Sequence11776	0.5	0.573
>Sequence11777	0.4	0.707
>Sequence11778	0.45	0.67
>Sequence11779	0.55	0.482
>Sequence11780	0.5	0.64
>Sequence11781	0.4	0.229
>Sequence11782	0.5	0.842
>Sequence11783	0.4	0.742
>Sequence11784	0.4	0.301
>Sequence11785	0.35	0.571
>Sequence11786	0.5	0.83
>Sequence11787	0.45	0.239
>Sequence11788	0.3	0.504
>Sequence11789	0.55	0.403
>Sequence11790	0.5	0.408
>Sequence11791	0.45	0.249
>Sequence11792	0.4	0.354
>Sequence11793	0.45	0.771
>Sequence11794	0.4	0.791
>Sequence11795	0.5	0.786
>Sequence11796	0.4	0.788
>Sequence11797	0.5	0.49
>Sequence11798	0.45	0.668
>Sequence11799	0.45	0.568
>Sequence11800	0.45	0.214
