Header	RF	SVM
>Sequence7701	0.5	0.713
>Sequence7702	0.5	0.091
>Sequence7703	0.45	0.244
>Sequence7704	0.45	0.435
>Sequence7705	0.25	0.228
>Sequence7706	0.4	0.366
>Sequence7707	0.45	0.485
>Sequence7708	0.5	0.437
>Sequence7709	0.4	0.766
>Sequence7710	0.4	0.695
>Sequence7711	0.35	0.122
>Sequence7712	0.4	0.398
>Sequence7713	0.35	0.638
>Sequence7714	0.5	0.796
>Sequence7715	0.4	0.31
>Sequence7716	0.4	0.136
>Sequence7717	0.4	0.251
>Sequence7718	0.5	0.16
>Sequence7719	0.3	0.396
>Sequence7720	0.5	0.24
>Sequence7721	0.3	0.116
>Sequence7722	0.4	0.753
>Sequence7723	0.55	0.741
>Sequence7724	0.35	0.603
>Sequence7725	0.5	0.797
>Sequence7726	0.45	0.318
>Sequence7727	0.35	0.272
>Sequence7728	0.5	0.793
>Sequence7729	0.45	0.17
>Sequence7730	0.4	0.815
>Sequence7731	0.5	0.794
>Sequence7732	0.35	0.735
>Sequence7733	0.45	0.683
>Sequence7734	0.35	0.321
>Sequence7735	0.35	0.735
>Sequence7736	0.4	0.272
>Sequence7737	0.45	0.755
>Sequence7738	0.45	0.25
>Sequence7739	0.4	0.513
>Sequence7740	0.5	0.17
>Sequence7741	0.45	0.566
>Sequence7742	0.45	0.715
>Sequence7743	0.35	0.694
>Sequence7744	0.3	0.245
>Sequence7745	0.5	0.328
>Sequence7746	0.45	0.307
>Sequence7747	0.4	0.28
>Sequence7748	0.6	0.76
>Sequence7749	0.45	0.728
>Sequence7750	0.35	0.085
>Sequence7751	0.45	0.242
>Sequence7752	0.35	0.287
>Sequence7753	0.5	0.748
>Sequence7754	0.4	0.394
>Sequence7755	0.55	0.684
>Sequence7756	0.2	0.255
>Sequence7757	0.55	0.698
>Sequence7758	0.45	0.285
>Sequence7759	0.45	0.254
>Sequence7760	0.55	0.769
>Sequence7761	0.5	0.615
>Sequence7762	0.45	0.143
>Sequence7763	0.6	0.821
>Sequence7764	0.5	0.447
>Sequence7765	0.3	0.451
>Sequence7766	0.4	0.35
>Sequence7767	0.35	0.303
>Sequence7768	0.4	0.619
>Sequence7769	0.4	0.206
>Sequence7770	0.45	0.684
>Sequence7771	0.45	0.745
>Sequence7772	0.6	0.229
>Sequence7773	0.4	0.674
>Sequence7774	0.4	0.759
>Sequence7775	0.45	0.354
>Sequence7776	0.45	0.751
>Sequence7777	0.5	0.667
>Sequence7778	0.4	0.312
>Sequence7779	0.4	0.206
>Sequence7780	0.4	0.658
>Sequence7781	0.35	0.251
>Sequence7782	0.4	0.239
>Sequence7783	0.3	0.16
>Sequence7784	0.5	0.736
>Sequence7785	0.55	0.609
>Sequence7786	0.45	0.609
>Sequence7787	0.45	0.162
>Sequence7788	0.6	0.839
>Sequence7789	0.4	0.706
>Sequence7790	0.4	0.779
>Sequence7791	0.35	0.33
>Sequence7792	0.45	0.687
>Sequence7793	0.45	0.246
>Sequence7794	0.45	0.305
>Sequence7795	0.45	0.293
>Sequence7796	0.45	0.76
>Sequence7797	0.35	0.607
>Sequence7798	0.45	0.729
>Sequence7799	0.55	0.317
>Sequence7800	0.3	0.302
