Header	RF	SVM
>Sequence4101	0.4	0.592
>Sequence4102	0.45	0.81
>Sequence4103	0.45	0.492
>Sequence4104	0.45	0.379
>Sequence4105	0.3	0.204
>Sequence4106	0.25	0.246
>Sequence4107	0.35	0.282
>Sequence4108	0.35	0.418
>Sequence4109	0.4	0.131
>Sequence4110	0.4	0.59
>Sequence4111	0.3	0.191
>Sequence4112	0.55	0.692
>Sequence4113	0.5	0.268
>Sequence4114	0.6	0.268
>Sequence4115	0.45	0.789
>Sequence4116	0.45	0.263
>Sequence4117	0.45	0.785
>Sequence4118	0.55	0.125
>Sequence4119	0.5	0.192
>Sequence4120	0.45	0.222
>Sequence4121	0.5	0.52
>Sequence4122	0.4	0.474
>Sequence4123	0.4	0.818
>Sequence4124	0.35	0.225
>Sequence4125	0.45	0.747
>Sequence4126	0.4	0.374
>Sequence4127	0.35	0.724
>Sequence4128	0.35	0.292
>Sequence4129	0.5	0.752
>Sequence4130	0.4	0.64
>Sequence4131	0.55	0.825
>Sequence4132	0.55	0.158
>Sequence4133	0.5	0.823
>Sequence4134	0.55	0.256
>Sequence4135	0.5	0.776
>Sequence4136	0.4	0.296
>Sequence4137	0.45	0.739
>Sequence4138	0.4	0.483
>Sequence4139	0.2	0.213
>Sequence4140	0.45	0.74
>Sequence4141	0.45	0.832
>Sequence4142	0.5	0.333
>Sequence4143	0.4	0.25
>Sequence4144	0.5	0.269
>Sequence4145	0.45	0.371
>Sequence4146	0.45	0.718
>Sequence4147	0.55	0.239
>Sequence4148	0.5	0.203
>Sequence4149	0.35	0.165
>Sequence4150	0.45	0.168
>Sequence4151	0.55	0.32
>Sequence4152	0.5	0.388
>Sequence4153	0.4	0.351
>Sequence4154	0.4	0.137
>Sequence4155	0.4	0.32
>Sequence4156	0.55	0.464
>Sequence4157	0.3	0.324
>Sequence4158	0.4	0.258
>Sequence4159	0.5	0.719
>Sequence4160	0.4	0.208
>Sequence4161	0.5	0.748
>Sequence4162	0.45	0.498
>Sequence4163	0.5	0.707
>Sequence4164	0.6	0.808
>Sequence4165	0.5	0.298
>Sequence4166	0.45	0.795
>Sequence4167	0.4	0.74
>Sequence4168	0.65	0.5
>Sequence4169	0.4	0.255
>Sequence4170	0.5	0.739
>Sequence4171	0.45	0.299
>Sequence4172	0.2	0.234
>Sequence4173	0.5	0.703
>Sequence4174	0.5	0.16
>Sequence4175	0.3	0.443
>Sequence4176	0.4	0.234
>Sequence4177	0.35	0.807
>Sequence4178	0.45	0.634
>Sequence4179	0.35	0.804
>Sequence4180	0.45	0.664
>Sequence4181	0.45	0.787
>Sequence4182	0.35	0.264
>Sequence4183	0.4	0.398
>Sequence4184	0.4	0.333
>Sequence4185	0.4	0.161
>Sequence4186	0.4	0.51
>Sequence4187	0.45	0.128
>Sequence4188	0.45	0.748
>Sequence4189	0.5	0.322
>Sequence4190	0.4	0.348
>Sequence4191	0.4	0.236
>Sequence4192	0.55	0.315
>Sequence4193	0.4	0.243
>Sequence4194	0.6	0.245
>Sequence4195	0.4	0.711
>Sequence4196	0.5	0.633
>Sequence4197	0.5	0.275
>Sequence4198	0.45	0.25
>Sequence4199	0.4	0.25
>Sequence4200	0.45	0.74
