Header	RF	SVM
>Sequence15701	0.55	0.826
>Sequence15702	0.5	0.112
>Sequence15703	0.35	0.374
>Sequence15704	0.5	0.818
>Sequence15705	0.45	0.798
>Sequence15706	0.45	0.325
>Sequence15707	0.4	0.184
>Sequence15708	0.2	0.408
>Sequence15709	0.45	0.482
>Sequence15710	0.5	0.612
>Sequence15711	0.4	0.63
>Sequence15712	0.45	0.678
>Sequence15713	0.5	0.234
>Sequence15714	0.35	0.663
>Sequence15715	0.45	0.698
>Sequence15716	0.35	0.733
>Sequence15717	0.2	0.253
>Sequence15718	0.45	0.776
>Sequence15719	0.5	0.757
>Sequence15720	0.35	0.232
>Sequence15721	0.45	0.222
>Sequence15722	0.4	0.178
>Sequence15723	0.25	0.232
>Sequence15724	0.5	0.444
>Sequence15725	0.5	0.244
>Sequence15726	0.4	0.247
>Sequence15727	0.45	0.323
>Sequence15728	0.4	0.22
>Sequence15729	0.4	0.62
>Sequence15730	0.4	0.613
>Sequence15731	0.45	0.558
>Sequence15732	0.5	0.297
>Sequence15733	0.7	0.649
>Sequence15734	0.4	0.423
>Sequence15735	0.45	0.794
>Sequence15736	0.45	0.806
>Sequence15737	0.4	0.584
>Sequence15738	0.4	0.766
>Sequence15739	0.5	0.76
>Sequence15740	0.4	0.723
>Sequence15741	0.5	0.368
>Sequence15742	0.45	0.701
>Sequence15743	0.3	0.082
>Sequence15744	0.45	0.43
>Sequence15745	0.35	0.135
>Sequence15746	0.5	0.675
>Sequence15747	0.5	0.771
>Sequence15748	0.45	0.47
>Sequence15749	0.4	0.491
>Sequence15750	0.55	0.77
>Sequence15751	0.3	0.57
>Sequence15752	0.55	0.64
>Sequence15753	0.65	0.641
>Sequence15754	0.55	0.83
>Sequence15755	0.45	0.259
>Sequence15756	0.5	0.82
>Sequence15757	0.4	0.315
>Sequence15758	0.45	0.408
>Sequence15759	0.45	0.759
>Sequence15760	0.35	0.301
>Sequence15761	0.5	0.365
>Sequence15762	0.35	0.14
>Sequence15763	0.5	0.769
>Sequence15764	0.45	0.257
>Sequence15765	0.5	0.744
>Sequence15766	0.5	0.202
>Sequence15767	0.5	0.649
>Sequence15768	0.55	0.782
>Sequence15769	0.5	0.649
>Sequence15770	0.35	0.179
>Sequence15771	0.4	0.684
>Sequence15772	0.35	0.628
>Sequence15773	0.4	0.419
>Sequence15774	0.25	0.49
>Sequence15775	0.6	0.238
>Sequence15776	0.4	0.206
>Sequence15777	0.4	0.671
>Sequence15778	0.4	0.454
>Sequence15779	0.35	0.723
>Sequence15780	0.45	0.484
>Sequence15781	0.4	0.243
>Sequence15782	0.3	0.146
>Sequence15783	0.45	0.243
>Sequence15784	0.6	0.768
>Sequence15785	0.55	0.806
>Sequence15786	0.45	0.5
>Sequence15787	0.45	0.308
>Sequence15788	0.45	0.747
>Sequence15789	0.4	0.766
>Sequence15790	0.5	0.37
>Sequence15791	0.5	0.76
>Sequence15792	0.5	0.764
>Sequence15793	0.35	0.075
>Sequence15794	0.45	0.75
>Sequence15795	0.5	0.235
>Sequence15796	0.35	0.309
>Sequence15797	0.55	0.822
>Sequence15798	0.4	0.209
>Sequence15799	0.45	0.344
>Sequence15800	0.55	0.814
