Header	RF	SVM
>Sequence5201	0.4	0.711
>Sequence5202	0.3	0.2
>Sequence5203	0.5	0.505
>Sequence5204	0.4	0.128
>Sequence5205	0.45	0.77
>Sequence5206	0.35	0.612
>Sequence5207	0.35	0.246
>Sequence5208	0.25	0.652
>Sequence5209	0.45	0.749
>Sequence5210	0.25	0.223
>Sequence5211	0.5	0.35
>Sequence5212	0.35	0.767
>Sequence5213	0.35	0.739
>Sequence5214	0.4	0.397
>Sequence5215	0.4	0.702
>Sequence5216	0.45	0.683
>Sequence5217	0.55	0.388
>Sequence5218	0.55	0.276
>Sequence5219	0.45	0.726
>Sequence5220	0.5	0.243
>Sequence5221	0.35	0.49
>Sequence5222	0.5	0.765
>Sequence5223	0.35	0.091
>Sequence5224	0.55	0.622
>Sequence5225	0.45	0.279
>Sequence5226	0.4	0.874
>Sequence5227	0.35	0.611
>Sequence5228	0.35	0.592
>Sequence5229	0.45	0.195
>Sequence5230	0.45	0.617
>Sequence5231	0.2	0.274
>Sequence5232	0.35	0.534
>Sequence5233	0.45	0.306
>Sequence5234	0.35	0.82
>Sequence5235	0.4	0.454
>Sequence5236	0.35	0.524
>Sequence5237	0.35	0.64
>Sequence5238	0.4	0.214
>Sequence5239	0.55	0.187
>Sequence5240	0.35	0.487
>Sequence5241	0.4	0.247
>Sequence5242	0.45	0.665
>Sequence5243	0.35	0.786
>Sequence5244	0.45	0.79
>Sequence5245	0.45	0.25
>Sequence5246	0.4	0.185
>Sequence5247	0.4	0.381
>Sequence5248	0.45	0.646
>Sequence5249	0.35	0.283
>Sequence5250	0.45	0.377
>Sequence5251	0.5	0.182
>Sequence5252	0.5	0.72
>Sequence5253	0.4	0.762
>Sequence5254	0.5	0.154
>Sequence5255	0.45	0.673
>Sequence5256	0.4	0.608
>Sequence5257	0.25	0.505
>Sequence5258	0.45	0.758
>Sequence5259	0.55	0.768
>Sequence5260	0.5	0.884
>Sequence5261	0.35	0.083
>Sequence5262	0.6	0.427
>Sequence5263	0.35	0.277
>Sequence5264	0.45	0.687
>Sequence5265	0.55	0.328
>Sequence5266	0.4	0.099
>Sequence5267	0.45	0.259
>Sequence5268	0.45	0.163
>Sequence5269	0.45	0.313
>Sequence5270	0.4	0.558
>Sequence5271	0.45	0.663
>Sequence5272	0.35	0.334
>Sequence5273	0.3	0.421
>Sequence5274	0.55	0.276
>Sequence5275	0.4	0.758
>Sequence5276	0.45	0.779
>Sequence5277	0.6	0.111
>Sequence5278	0.45	0.785
>Sequence5279	0.4	0.716
>Sequence5280	0.35	0.235
>Sequence5281	0.45	0.768
>Sequence5282	0.55	0.315
>Sequence5283	0.35	0.65
>Sequence5284	0.3	0.351
>Sequence5285	0.45	0.559
>Sequence5286	0.4	0.24
>Sequence5287	0.35	0.593
>Sequence5288	0.35	0.232
>Sequence5289	0.4	0.439
>Sequence5290	0.5	0.755
>Sequence5291	0.3	0.392
>Sequence5292	0.45	0.638
>Sequence5293	0.35	0.434
>Sequence5294	0.45	0.762
>Sequence5295	0.4	0.765
>Sequence5296	0.5	0.802
>Sequence5297	0.4	0.753
>Sequence5298	0.55	0.294
>Sequence5299	0.4	0.331
>Sequence5300	0.5	0.743
