Header	RF	SVM
>Sequence17401	0.35	0.722
>Sequence17402	0.45	0.747
>Sequence17403	0.45	0.622
>Sequence17404	0.55	0.268
>Sequence17405	0.5	0.525
>Sequence17406	0.4	0.758
>Sequence17407	0.4	0.148
>Sequence17408	0.4	0.72
>Sequence17409	0.45	0.069
>Sequence17410	0.4	0.186
>Sequence17411	0.4	0.456
>Sequence17412	0.4	0.773
>Sequence17413	0.55	0.761
>Sequence17414	0.45	0.708
>Sequence17415	0.45	0.844
>Sequence17416	0.4	0.619
>Sequence17417	0.25	0.311
>Sequence17418	0.5	0.645
>Sequence17419	0.5	0.178
>Sequence17420	0.55	0.394
>Sequence17421	0.45	0.666
>Sequence17422	0.35	0.082
>Sequence17423	0.45	0.643
>Sequence17424	0.45	0.715
>Sequence17425	0.3	0.4
>Sequence17426	0.45	0.693
>Sequence17427	0.4	0.269
>Sequence17428	0.3	0.294
>Sequence17429	0.45	0.627
>Sequence17430	0.45	0.321
>Sequence17431	0.25	0.279
>Sequence17432	0.5	0.818
>Sequence17433	0.2	0.118
>Sequence17434	0.35	0.269
>Sequence17435	0.45	0.527
>Sequence17436	0.4	0.263
>Sequence17437	0.5	0.672
>Sequence17438	0.5	0.742
>Sequence17439	0.45	0.769
>Sequence17440	0.4	0.744
>Sequence17441	0.3	0.293
>Sequence17442	0.5	0.664
>Sequence17443	0.65	0.683
>Sequence17444	0.55	0.319
>Sequence17445	0.35	0.08
>Sequence17446	0.45	0.679
>Sequence17447	0.55	0.433
>Sequence17448	0.6	0.336
>Sequence17449	0.45	0.705
>Sequence17450	0.4	0.524
>Sequence17451	0.4	0.528
>Sequence17452	0.4	0.808
>Sequence17453	0.5	0.441
>Sequence17454	0.4	0.437
>Sequence17455	0.5	0.346
>Sequence17456	0.4	0.277
>Sequence17457	0.45	0.127
>Sequence17458	0.4	0.151
>Sequence17459	0.45	0.212
>Sequence17460	0.45	0.711
>Sequence17461	0.4	0.565
>Sequence17462	0.4	0.064
>Sequence17463	0.4	0.413
>Sequence17464	0.5	0.218
>Sequence17465	0.45	0.618
>Sequence17466	0.5	0.782
>Sequence17467	0.45	0.119
>Sequence17468	0.4	0.655
>Sequence17469	0.4	0.785
>Sequence17470	0.5	0.79
>Sequence17471	0.4	0.671
>Sequence17472	0.35	0.192
>Sequence17473	0.45	0.545
>Sequence17474	0.45	0.568
>Sequence17475	0.45	0.53
>Sequence17476	0.4	0.199
>Sequence17477	0.5	0.83
>Sequence17478	0.4	0.743
>Sequence17479	0.3	0.095
>Sequence17480	0.6	0.291
>Sequence17481	0.3	0.771
>Sequence17482	0.6	0.258
>Sequence17483	0.5	0.739
>Sequence17484	0.4	0.625
>Sequence17485	0.5	0.779
>Sequence17486	0.5	0.356
>Sequence17487	0.3	0.762
>Sequence17488	0.5	0.181
>Sequence17489	0.5	0.189
>Sequence17490	0.3	0.299
>Sequence17491	0.4	0.616
>Sequence17492	0.55	0.603
>Sequence17493	0.45	0.329
>Sequence17494	0.5	0.666
>Sequence17495	0.5	0.811
>Sequence17496	0.45	0.133
>Sequence17497	0.45	0.093
>Sequence17498	0.2	0.455
>Sequence17499	0.45	0.848
>Sequence17500	0.35	0.762
