Header	RF	SVM
>Sequence17801	0.45	0.8
>Sequence17802	0.5	0.751
>Sequence17803	0.35	0.167
>Sequence17804	0.4	0.61
>Sequence17805	0.4	0.827
>Sequence17806	0.45	0.35
>Sequence17807	0.45	0.753
>Sequence17808	0.45	0.238
>Sequence17809	0.35	0.822
>Sequence17810	0.45	0.268
>Sequence17811	0.55	0.196
>Sequence17812	0.4	0.431
>Sequence17813	0.4	0.697
>Sequence17814	0.55	0.253
>Sequence17815	0.45	0.73
>Sequence17816	0.45	0.716
>Sequence17817	0.45	0.77
>Sequence17818	0.55	0.476
>Sequence17819	0.45	0.712
>Sequence17820	0.65	0.796
>Sequence17821	0.4	0.718
>Sequence17822	0.4	0.341
>Sequence17823	0.5	0.242
>Sequence17824	0.4	0.58
>Sequence17825	0.5	0.703
>Sequence17826	0.2	0.419
>Sequence17827	0.5	0.606
>Sequence17828	0.3	0.179
>Sequence17829	0.45	0.716
>Sequence17830	0.55	0.522
>Sequence17831	0.5	0.13
>Sequence17832	0.45	0.693
>Sequence17833	0.55	0.145
>Sequence17834	0.45	0.777
>Sequence17835	0.55	0.795
>Sequence17836	0.45	0.36
>Sequence17837	0.45	0.678
>Sequence17838	0.4	0.626
>Sequence17839	0.4	0.398
>Sequence17840	0.35	0.715
>Sequence17841	0.45	0.765
>Sequence17842	0.4	0.465
>Sequence17843	0.5	0.341
>Sequence17844	0.35	0.788
>Sequence17845	0.55	0.126
>Sequence17846	0.35	0.361
>Sequence17847	0.45	0.602
>Sequence17848	0.5	0.733
>Sequence17849	0.6	0.292
>Sequence17850	0.5	0.797
>Sequence17851	0.55	0.831
>Sequence17852	0.55	0.828
>Sequence17853	0.5	0.674
>Sequence17854	0.5	0.397
>Sequence17855	0.35	0.623
>Sequence17856	0.6	0.225
>Sequence17857	0.45	0.356
>Sequence17858	0.45	0.464
>Sequence17859	0.5	0.339
>Sequence17860	0.45	0.742
>Sequence17861	0.55	0.781
>Sequence17862	0.45	0.752
>Sequence17863	0.4	0.733
>Sequence17864	0.3	0.426
>Sequence17865	0.45	0.736
>Sequence17866	0.45	0.788
>Sequence17867	0.5	0.598
>Sequence17868	0.4	0.705
>Sequence17869	0.4	0.746
>Sequence17870	0.45	0.67
>Sequence17871	0.4	0.649
>Sequence17872	0.45	0.789
>Sequence17873	0.45	0.241
>Sequence17874	0.5	0.779
>Sequence17875	0.45	0.775
>Sequence17876	0.35	0.339
>Sequence17877	0.3	0.299
>Sequence17878	0.35	0.234
>Sequence17879	0.4	0.211
>Sequence17880	0.45	0.344
>Sequence17881	0.3	0.805
>Sequence17882	0.35	0.746
>Sequence17883	0.4	0.748
>Sequence17884	0.45	0.217
>Sequence17885	0.4	0.174
>Sequence17886	0.45	0.724
>Sequence17887	0.55	0.811
>Sequence17888	0.4	0.707
>Sequence17889	0.35	0.726
>Sequence17890	0.3	0.285
>Sequence17891	0.35	0.381
>Sequence17892	0.5	0.278
>Sequence17893	0.45	0.594
>Sequence17894	0.4	0.176
>Sequence17895	0.4	0.766
>Sequence17896	0.3	0.661
>Sequence17897	0.25	0.223
>Sequence17898	0.45	0.411
>Sequence17899	0.35	0.462
>Sequence17900	0.5	0.676
