Header	RF	SVM
>Sequence8601	0.35	0.555
>Sequence8602	0.45	0.742
>Sequence8603	0.35	0.239
>Sequence8604	0.45	0.742
>Sequence8605	0.3	0.583
>Sequence8606	0.45	0.725
>Sequence8607	0.5	0.746
>Sequence8608	0.5	0.307
>Sequence8609	0.45	0.206
>Sequence8610	0.65	0.705
>Sequence8611	0.45	0.715
>Sequence8612	0.5	0.679
>Sequence8613	0.45	0.278
>Sequence8614	0.5	0.753
>Sequence8615	0.15	0.126
>Sequence8616	0.4	0.344
>Sequence8617	0.35	0.748
>Sequence8618	0.3	0.269
>Sequence8619	0.45	0.179
>Sequence8620	0.4	0.341
>Sequence8621	0.4	0.636
>Sequence8622	0.45	0.616
>Sequence8623	0.45	0.502
>Sequence8624	0.35	0.639
>Sequence8625	0.3	0.143
>Sequence8626	0.45	0.703
>Sequence8627	0.4	0.354
>Sequence8628	0.45	0.676
>Sequence8629	0.45	0.4
>Sequence8630	0.4	0.778
>Sequence8631	0.45	0.124
>Sequence8632	0.45	0.328
>Sequence8633	0.45	0.687
>Sequence8634	0.4	0.568
>Sequence8635	0.55	0.814
>Sequence8636	0.4	0.299
>Sequence8637	0.3	0.41
>Sequence8638	0.5	0.289
>Sequence8639	0.45	0.502
>Sequence8640	0.45	0.656
>Sequence8641	0.25	0.424
>Sequence8642	0.45	0.818
>Sequence8643	0.5	0.76
>Sequence8644	0.45	0.046
>Sequence8645	0.45	0.732
>Sequence8646	0.35	0.134
>Sequence8647	0.35	0.321
>Sequence8648	0.4	0.253
>Sequence8649	0.4	0.176
>Sequence8650	0.3	0.469
>Sequence8651	0.55	0.297
>Sequence8652	0.45	0.598
>Sequence8653	0.4	0.342
>Sequence8654	0.5	0.315
>Sequence8655	0.25	0.159
>Sequence8656	0.4	0.714
>Sequence8657	0.45	0.751
>Sequence8658	0.45	0.726
>Sequence8659	0.4	0.211
>Sequence8660	0.5	0.709
>Sequence8661	0.5	0.397
>Sequence8662	0.4	0.807
>Sequence8663	0.4	0.595
>Sequence8664	0.55	0.312
>Sequence8665	0.35	0.278
>Sequence8666	0.45	0.241
>Sequence8667	0.35	0.232
>Sequence8668	0.45	0.647
>Sequence8669	0.6	0.412
>Sequence8670	0.5	0.707
>Sequence8671	0.5	0.746
>Sequence8672	0.5	0.282
>Sequence8673	0.5	0.363
>Sequence8674	0.4	0.768
>Sequence8675	0.4	0.202
>Sequence8676	0.4	0.598
>Sequence8677	0.25	0.063
>Sequence8678	0.45	0.677
>Sequence8679	0.45	0.634
>Sequence8680	0.45	0.476
>Sequence8681	0.45	0.704
>Sequence8682	0.4	0.323
>Sequence8683	0.25	0.211
>Sequence8684	0.45	0.332
>Sequence8685	0.4	0.291
>Sequence8686	0.55	0.753
>Sequence8687	0.3	0.26
>Sequence8688	0.45	0.048
>Sequence8689	0.5	0.752
>Sequence8690	0.45	0.236
>Sequence8691	0.35	0.718
>Sequence8692	0.45	0.775
>Sequence8693	0.5	0.653
>Sequence8694	0.5	0.256
>Sequence8695	0.4	0.626
>Sequence8696	0.25	0.451
>Sequence8697	0.5	0.215
>Sequence8698	0.45	0.181
>Sequence8699	0.45	0.85
>Sequence8700	0.4	0.31
