Header	RF	SVM
>Sequence6201	0.35	0.171
>Sequence6202	0.35	0.853
>Sequence6203	0.35	0.174
>Sequence6204	0.45	0.8
>Sequence6205	0.45	0.728
>Sequence6206	0.4	0.652
>Sequence6207	0.5	0.772
>Sequence6208	0.45	0.216
>Sequence6209	0.4	0.584
>Sequence6210	0.3	0.832
>Sequence6211	0.3	0.214
>Sequence6212	0.45	0.282
>Sequence6213	0.25	0.163
>Sequence6214	0.35	0.182
>Sequence6215	0.55	0.3
>Sequence6216	0.55	0.461
>Sequence6217	0.4	0.659
>Sequence6218	0.25	0.094
>Sequence6219	0.45	0.784
>Sequence6220	0.35	0.734
>Sequence6221	0.3	0.244
>Sequence6222	0.4	0.768
>Sequence6223	0.45	0.336
>Sequence6224	0.4	0.435
>Sequence6225	0.4	0.661
>Sequence6226	0.45	0.342
>Sequence6227	0.2	0.137
>Sequence6228	0.55	0.757
>Sequence6229	0.4	0.37
>Sequence6230	0.45	0.788
>Sequence6231	0.4	0.08
>Sequence6232	0.5	0.22
>Sequence6233	0.4	0.773
>Sequence6234	0.35	0.342
>Sequence6235	0.55	0.484
>Sequence6236	0.5	0.81
>Sequence6237	0.5	0.102
>Sequence6238	0.35	0.334
>Sequence6239	0.45	0.215
>Sequence6240	0.45	0.235
>Sequence6241	0.4	0.127
>Sequence6242	0.45	0.659
>Sequence6243	0.4	0.553
>Sequence6244	0.35	0.671
>Sequence6245	0.45	0.36
>Sequence6246	0.4	0.757
>Sequence6247	0.25	0.213
>Sequence6248	0.4	0.321
>Sequence6249	0.5	0.831
>Sequence6250	0.35	0.475
>Sequence6251	0.5	0.298
>Sequence6252	0.4	0.388
>Sequence6253	0.35	0.737
>Sequence6254	0.4	0.526
>Sequence6255	0.55	0.207
>Sequence6256	0.5	0.212
>Sequence6257	0.5	0.753
>Sequence6258	0.5	0.579
>Sequence6259	0.4	0.745
>Sequence6260	0.4	0.696
>Sequence6261	0.6	0.244
>Sequence6262	0.3	0.761
>Sequence6263	0.35	0.45
>Sequence6264	0.4	0.709
>Sequence6265	0.5	0.817
>Sequence6266	0.4	0.175
>Sequence6267	0.55	0.792
>Sequence6268	0.5	0.305
>Sequence6269	0.4	0.689
>Sequence6270	0.45	0.755
>Sequence6271	0.45	0.245
>Sequence6272	0.45	0.778
>Sequence6273	0.55	0.198
>Sequence6274	0.45	0.685
>Sequence6275	0.45	0.769
>Sequence6276	0.4	0.32
>Sequence6277	0.5	0.292
>Sequence6278	0.5	0.812
>Sequence6279	0.5	0.723
>Sequence6280	0.25	0.733
>Sequence6281	0.5	0.376
>Sequence6282	0.5	0.36
>Sequence6283	0.5	0.767
>Sequence6284	0.45	0.613
>Sequence6285	0.35	0.524
>Sequence6286	0.3	0.462
>Sequence6287	0.55	0.725
>Sequence6288	0.3	0.787
>Sequence6289	0.35	0.463
>Sequence6290	0.4	0.19
>Sequence6291	0.45	0.249
>Sequence6292	0.4	0.512
>Sequence6293	0.5	0.73
>Sequence6294	0.3	0.35
>Sequence6295	0.6	0.296
>Sequence6296	0.35	0.575
>Sequence6297	0.4	0.61
>Sequence6298	0.5	0.705
>Sequence6299	0.55	0.087
>Sequence6300	0.55	0.352
