Header	RF	SVM
>Sequence19601	0.4	0.413
>Sequence19602	0.45	0.54
>Sequence19603	0.45	0.81
>Sequence19604	0.5	0.661
>Sequence19605	0.5	0.134
>Sequence19606	0.45	0.699
>Sequence19607	0.45	0.261
>Sequence19608	0.45	0.175
>Sequence19609	0.5	0.548
>Sequence19610	0.45	0.704
>Sequence19611	0.4	0.808
>Sequence19612	0.35	0.316
>Sequence19613	0.5	0.23
>Sequence19614	0.35	0.138
>Sequence19615	0.35	0.511
>Sequence19616	0.4	0.537
>Sequence19617	0.4	0.782
>Sequence19618	0.4	0.18
>Sequence19619	0.4	0.289
>Sequence19620	0.35	0.207
>Sequence19621	0.45	0.786
>Sequence19622	0.4	0.646
>Sequence19623	0.5	0.783
>Sequence19624	0.4	0.416
>Sequence19625	0.55	0.805
>Sequence19626	0.45	0.668
>Sequence19627	0.35	0.274
>Sequence19628	0.55	0.7
>Sequence19629	0.35	0.21
>Sequence19630	0.35	0.177
>Sequence19631	0.5	0.22
>Sequence19632	0.45	0.668
>Sequence19633	0.55	0.633
>Sequence19634	0.35	0.165
>Sequence19635	0.45	0.757
>Sequence19636	0.4	0.478
>Sequence19637	0.55	0.77
>Sequence19638	0.5	0.353
>Sequence19639	0.5	0.569
>Sequence19640	0.4	0.204
>Sequence19641	0.3	0.255
>Sequence19642	0.35	0.834
>Sequence19643	0.55	0.856
>Sequence19644	0.45	0.732
>Sequence19645	0.4	0.286
>Sequence19646	0.4	0.262
>Sequence19647	0.5	0.376
>Sequence19648	0.45	0.292
>Sequence19649	0.4	0.645
>Sequence19650	0.4	0.727
>Sequence19651	0.5	0.247
>Sequence19652	0.5	0.783
>Sequence19653	0.4	0.826
>Sequence19654	0.4	0.59
>Sequence19655	0.45	0.312
>Sequence19656	0.4	0.495
>Sequence19657	0.55	0.653
>Sequence19658	0.45	0.384
>Sequence19659	0.55	0.371
>Sequence19660	0.4	0.801
>Sequence19661	0.45	0.516
>Sequence19662	0.4	0.418
>Sequence19663	0.4	0.728
>Sequence19664	0.5	0.751
>Sequence19665	0.45	0.471
>Sequence19666	0.35	0.801
>Sequence19667	0.45	0.321
>Sequence19668	0.4	0.2
>Sequence19669	0.55	0.802
>Sequence19670	0.45	0.741
>Sequence19671	0.35	0.599
>Sequence19672	0.45	0.189
>Sequence19673	0.4	0.762
>Sequence19674	0.4	0.682
>Sequence19675	0.6	0.807
>Sequence19676	0.35	0.195
>Sequence19677	0.5	0.582
>Sequence19678	0.3	0.346
>Sequence19679	0.45	0.798
>Sequence19680	0.4	0.708
>Sequence19681	0.4	0.186
>Sequence19682	0.3	0.353
>Sequence19683	0.4	0.71
>Sequence19684	0.4	0.151
>Sequence19685	0.5	0.334
>Sequence19686	0.6	0.698
>Sequence19687	0.35	0.796
>Sequence19688	0.5	0.74
>Sequence19689	0.55	0.301
>Sequence19690	0.5	0.717
>Sequence19691	0.4	0.684
>Sequence19692	0.4	0.766
>Sequence19693	0.5	0.713
>Sequence19694	0.5	0.352
>Sequence19695	0.55	0.782
>Sequence19696	0.45	0.778
>Sequence19697	0.45	0.76
>Sequence19698	0.35	0.719
>Sequence19699	0.4	0.776
>Sequence19700	0.4	0.747
