Header	RF	SVM
>Sequence12701	0.4	0.692
>Sequence12702	0.5	0.432
>Sequence12703	0.4	0.782
>Sequence12704	0.55	0.299
>Sequence12705	0.5	0.681
>Sequence12706	0.35	0.267
>Sequence12707	0.45	0.717
>Sequence12708	0.45	0.453
>Sequence12709	0.4	0.738
>Sequence12710	0.5	0.69
>Sequence12711	0.4	0.142
>Sequence12712	0.5	0.289
>Sequence12713	0.35	0.458
>Sequence12714	0.3	0.477
>Sequence12715	0.45	0.561
>Sequence12716	0.4	0.787
>Sequence12717	0.4	0.795
>Sequence12718	0.4	0.708
>Sequence12719	0.5	0.658
>Sequence12720	0.45	0.381
>Sequence12721	0.5	0.661
>Sequence12722	0.3	0.622
>Sequence12723	0.45	0.793
>Sequence12724	0.4	0.419
>Sequence12725	0.4	0.444
>Sequence12726	0.4	0.778
>Sequence12727	0.45	0.299
>Sequence12728	0.3	0.205
>Sequence12729	0.45	0.773
>Sequence12730	0.45	0.685
>Sequence12731	0.45	0.473
>Sequence12732	0.55	0.292
>Sequence12733	0.4	0.599
>Sequence12734	0.5	0.602
>Sequence12735	0.35	0.166
>Sequence12736	0.45	0.167
>Sequence12737	0.45	0.579
>Sequence12738	0.4	0.673
>Sequence12739	0.35	0.287
>Sequence12740	0.35	0.441
>Sequence12741	0.5	0.73
>Sequence12742	0.35	0.247
>Sequence12743	0.35	0.764
>Sequence12744	0.25	0.474
>Sequence12745	0.5	0.43
>Sequence12746	0.4	0.342
>Sequence12747	0.4	0.163
>Sequence12748	0.6	0.898
>Sequence12749	0.45	0.593
>Sequence12750	0.4	0.278
>Sequence12751	0.5	0.846
>Sequence12752	0.4	0.36
>Sequence12753	0.55	0.294
>Sequence12754	0.5	0.654
>Sequence12755	0.45	0.709
>Sequence12756	0.45	0.644
>Sequence12757	0.4	0.208
>Sequence12758	0.45	0.335
>Sequence12759	0.25	0.124
>Sequence12760	0.55	0.587
>Sequence12761	0.5	0.732
>Sequence12762	0.45	0.145
>Sequence12763	0.35	0.144
>Sequence12764	0.35	0.82
>Sequence12765	0.4	0.765
>Sequence12766	0.45	0.562
>Sequence12767	0.55	0.76
>Sequence12768	0.45	0.739
>Sequence12769	0.4	0.258
>Sequence12770	0.45	0.705
>Sequence12771	0.5	0.741
>Sequence12772	0.45	0.752
>Sequence12773	0.55	0.776
>Sequence12774	0.4	0.21
>Sequence12775	0.6	0.156
>Sequence12776	0.35	0.319
>Sequence12777	0.45	0.219
>Sequence12778	0.45	0.487
>Sequence12779	0.45	0.707
>Sequence12780	0.5	0.314
>Sequence12781	0.4	0.73
>Sequence12782	0.45	0.753
>Sequence12783	0.45	0.624
>Sequence12784	0.4	0.779
>Sequence12785	0.45	0.745
>Sequence12786	0.55	0.216
>Sequence12787	0.45	0.768
>Sequence12788	0.45	0.625
>Sequence12789	0.4	0.685
>Sequence12790	0.4	0.733
>Sequence12791	0.3	0.485
>Sequence12792	0.35	0.059
>Sequence12793	0.5	0.29
>Sequence12794	0.45	0.791
>Sequence12795	0.45	0.731
>Sequence12796	0.4	0.594
>Sequence12797	0.25	0.553
>Sequence12798	0.45	0.4
>Sequence12799	0.5	0.466
>Sequence12800	0.4	0.786
