Header	RF	SVM
>Sequence10701	0.35	0.73
>Sequence10702	0.4	0.734
>Sequence10703	0.4	0.337
>Sequence10704	0.5	0.311
>Sequence10705	0.35	0.666
>Sequence10706	0.6	0.435
>Sequence10707	0.45	0.351
>Sequence10708	0.6	0.835
>Sequence10709	0.45	0.14
>Sequence10710	0.45	0.33
>Sequence10711	0.35	0.202
>Sequence10712	0.4	0.709
>Sequence10713	0.45	0.444
>Sequence10714	0.55	0.294
>Sequence10715	0.6	0.615
>Sequence10716	0.45	0.663
>Sequence10717	0.4	0.62
>Sequence10718	0.45	0.477
>Sequence10719	0.45	0.209
>Sequence10720	0.35	0.413
>Sequence10721	0.55	0.434
>Sequence10722	0.45	0.806
>Sequence10723	0.45	0.831
>Sequence10724	0.4	0.396
>Sequence10725	0.6	0.43
>Sequence10726	0.3	0.491
>Sequence10727	0.45	0.428
>Sequence10728	0.3	0.418
>Sequence10729	0.4	0.252
>Sequence10730	0.45	0.758
>Sequence10731	0.5	0.624
>Sequence10732	0.5	0.861
>Sequence10733	0.4	0.731
>Sequence10734	0.5	0.783
>Sequence10735	0.6	0.411
>Sequence10736	0.45	0.166
>Sequence10737	0.3	0.221
>Sequence10738	0.45	0.847
>Sequence10739	0.4	0.272
>Sequence10740	0.45	0.448
>Sequence10741	0.4	0.373
>Sequence10742	0.45	0.287
>Sequence10743	0.5	0.635
>Sequence10744	0.4	0.292
>Sequence10745	0.35	0.801
>Sequence10746	0.4	0.09
>Sequence10747	0.4	0.784
>Sequence10748	0.5	0.249
>Sequence10749	0.4	0.757
>Sequence10750	0.4	0.412
>Sequence10751	0.4	0.735
>Sequence10752	0.4	0.177
>Sequence10753	0.45	0.43
>Sequence10754	0.15	0.131
>Sequence10755	0.3	0.118
>Sequence10756	0.35	0.728
>Sequence10757	0.35	0.34
>Sequence10758	0.45	0.166
>Sequence10759	0.4	0.408
>Sequence10760	0.4	0.797
>Sequence10761	0.45	0.633
>Sequence10762	0.4	0.323
>Sequence10763	0.5	0.37
>Sequence10764	0.5	0.472
>Sequence10765	0.55	0.781
>Sequence10766	0.55	0.298
>Sequence10767	0.4	0.722
>Sequence10768	0.45	0.337
>Sequence10769	0.45	0.841
>Sequence10770	0.5	0.823
>Sequence10771	0.45	0.325
>Sequence10772	0.4	0.709
>Sequence10773	0.45	0.211
>Sequence10774	0.35	0.658
>Sequence10775	0.4	0.138
>Sequence10776	0.35	0.301
>Sequence10777	0.5	0.528
>Sequence10778	0.4	0.756
>Sequence10779	0.4	0.449
>Sequence10780	0.45	0.76
>Sequence10781	0.5	0.715
>Sequence10782	0.6	0.704
>Sequence10783	0.6	0.797
>Sequence10784	0.45	0.758
>Sequence10785	0.25	0.634
>Sequence10786	0.4	0.272
>Sequence10787	0.4	0.643
>Sequence10788	0.4	0.746
>Sequence10789	0.45	0.673
>Sequence10790	0.4	0.722
>Sequence10791	0.6	0.623
>Sequence10792	0.45	0.158
>Sequence10793	0.55	0.124
>Sequence10794	0.45	0.386
>Sequence10795	0.4	0.759
>Sequence10796	0.45	0.683
>Sequence10797	0.45	0.284
>Sequence10798	0.45	0.236
>Sequence10799	0.45	0.292
>Sequence10800	0.45	0.732
