Header	RF	SVM
>Sequence11401	0.55	0.279
>Sequence11402	0.45	0.6
>Sequence11403	0.3	0.261
>Sequence11404	0.45	0.167
>Sequence11405	0.45	0.765
>Sequence11406	0.55	0.534
>Sequence11407	0.55	0.269
>Sequence11408	0.35	0.261
>Sequence11409	0.5	0.598
>Sequence11410	0.45	0.736
>Sequence11411	0.45	0.639
>Sequence11412	0.3	0.533
>Sequence11413	0.3	0.118
>Sequence11414	0.35	0.363
>Sequence11415	0.4	0.28
>Sequence11416	0.55	0.83
>Sequence11417	0.45	0.707
>Sequence11418	0.4	0.516
>Sequence11419	0.55	0.195
>Sequence11420	0.3	0.118
>Sequence11421	0.45	0.33
>Sequence11422	0.6	0.312
>Sequence11423	0.4	0.808
>Sequence11424	0.5	0.127
>Sequence11425	0.4	0.223
>Sequence11426	0.45	0.647
>Sequence11427	0.6	0.455
>Sequence11428	0.45	0.308
>Sequence11429	0.4	0.186
>Sequence11430	0.4	0.65
>Sequence11431	0.5	0.74
>Sequence11432	0.45	0.605
>Sequence11433	0.45	0.755
>Sequence11434	0.4	0.135
>Sequence11435	0.35	0.608
>Sequence11436	0.35	0.294
>Sequence11437	0.4	0.362
>Sequence11438	0.45	0.788
>Sequence11439	0.3	0.113
>Sequence11440	0.4	0.741
>Sequence11441	0.35	0.832
>Sequence11442	0.45	0.561
>Sequence11443	0.4	0.746
>Sequence11444	0.45	0.495
>Sequence11445	0.4	0.401
>Sequence11446	0.4	0.656
>Sequence11447	0.45	0.359
>Sequence11448	0.45	0.654
>Sequence11449	0.5	0.677
>Sequence11450	0.55	0.632
>Sequence11451	0.45	0.286
>Sequence11452	0.45	0.674
>Sequence11453	0.5	0.764
>Sequence11454	0.4	0.501
>Sequence11455	0.45	0.238
>Sequence11456	0.55	0.19
>Sequence11457	0.45	0.532
>Sequence11458	0.45	0.195
>Sequence11459	0.5	0.814
>Sequence11460	0.3	0.394
>Sequence11461	0.45	0.743
>Sequence11462	0.4	0.59
>Sequence11463	0.4	0.287
>Sequence11464	0.4	0.244
>Sequence11465	0.45	0.291
>Sequence11466	0.4	0.389
>Sequence11467	0.4	0.784
>Sequence11468	0.5	0.3
>Sequence11469	0.3	0.297
>Sequence11470	0.45	0.811
>Sequence11471	0.35	0.133
>Sequence11472	0.6	0.284
>Sequence11473	0.45	0.315
>Sequence11474	0.3	0.348
>Sequence11475	0.45	0.253
>Sequence11476	0.45	0.08
>Sequence11477	0.45	0.314
>Sequence11478	0.4	0.186
>Sequence11479	0.4	0.734
>Sequence11480	0.4	0.724
>Sequence11481	0.35	0.705
>Sequence11482	0.45	0.684
>Sequence11483	0.4	0.808
>Sequence11484	0.45	0.691
>Sequence11485	0.4	0.099
>Sequence11486	0.35	0.811
>Sequence11487	0.5	0.844
>Sequence11488	0.45	0.822
>Sequence11489	0.35	0.547
>Sequence11490	0.5	0.19
>Sequence11491	0.65	0.539
>Sequence11492	0.4	0.724
>Sequence11493	0.45	0.759
>Sequence11494	0.55	0.348
>Sequence11495	0.5	0.555
>Sequence11496	0.45	0.681
>Sequence11497	0.45	0.728
>Sequence11498	0.3	0.086
>Sequence11499	0.5	0.334
>Sequence11500	0.45	0.44
