Header	RF	SVM
>Sequence4701	0.45	0.387
>Sequence4702	0.5	0.407
>Sequence4703	0.45	0.509
>Sequence4704	0.4	0.65
>Sequence4705	0.4	0.154
>Sequence4706	0.5	0.784
>Sequence4707	0.45	0.25
>Sequence4708	0.5	0.3
>Sequence4709	0.55	0.628
>Sequence4710	0.45	0.457
>Sequence4711	0.45	0.674
>Sequence4712	0.45	0.348
>Sequence4713	0.5	0.369
>Sequence4714	0.25	0.138
>Sequence4715	0.5	0.627
>Sequence4716	0.5	0.78
>Sequence4717	0.6	0.543
>Sequence4718	0.55	0.396
>Sequence4719	0.4	0.187
>Sequence4720	0.5	0.211
>Sequence4721	0.4	0.122
>Sequence4722	0.5	0.203
>Sequence4723	0.45	0.635
>Sequence4724	0.35	0.095
>Sequence4725	0.55	0.243
>Sequence4726	0.45	0.192
>Sequence4727	0.35	0.3
>Sequence4728	0.45	0.741
>Sequence4729	0.45	0.286
>Sequence4730	0.4	0.251
>Sequence4731	0.45	0.764
>Sequence4732	0.4	0.77
>Sequence4733	0.35	0.777
>Sequence4734	0.5	0.783
>Sequence4735	0.35	0.707
>Sequence4736	0.5	0.343
>Sequence4737	0.4	0.666
>Sequence4738	0.45	0.682
>Sequence4739	0.35	0.753
>Sequence4740	0.3	0.416
>Sequence4741	0.5	0.361
>Sequence4742	0.45	0.239
>Sequence4743	0.35	0.3
>Sequence4744	0.6	0.474
>Sequence4745	0.45	0.794
>Sequence4746	0.45	0.601
>Sequence4747	0.4	0.336
>Sequence4748	0.45	0.302
>Sequence4749	0.45	0.652
>Sequence4750	0.35	0.417
>Sequence4751	0.45	0.153
>Sequence4752	0.35	0.492
>Sequence4753	0.5	0.749
>Sequence4754	0.5	0.717
>Sequence4755	0.35	0.266
>Sequence4756	0.55	0.656
>Sequence4757	0.55	0.388
>Sequence4758	0.45	0.13
>Sequence4759	0.4	0.825
>Sequence4760	0.45	0.195
>Sequence4761	0.4	0.735
>Sequence4762	0.5	0.334
>Sequence4763	0.4	0.56
>Sequence4764	0.45	0.81
>Sequence4765	0.4	0.739
>Sequence4766	0.45	0.297
>Sequence4767	0.6	0.157
>Sequence4768	0.4	0.631
>Sequence4769	0.55	0.197
>Sequence4770	0.45	0.338
>Sequence4771	0.65	0.352
>Sequence4772	0.45	0.466
>Sequence4773	0.4	0.45
>Sequence4774	0.45	0.661
>Sequence4775	0.35	0.738
>Sequence4776	0.45	0.73
>Sequence4777	0.4	0.725
>Sequence4778	0.35	0.676
>Sequence4779	0.5	0.757
>Sequence4780	0.5	0.342
>Sequence4781	0.45	0.82
>Sequence4782	0.5	0.146
>Sequence4783	0.45	0.569
>Sequence4784	0.3	0.302
>Sequence4785	0.45	0.679
>Sequence4786	0.35	0.107
>Sequence4787	0.5	0.215
>Sequence4788	0.45	0.749
>Sequence4789	0.55	0.737
>Sequence4790	0.5	0.157
>Sequence4791	0.6	0.704
>Sequence4792	0.4	0.773
>Sequence4793	0.6	0.138
>Sequence4794	0.6	0.331
>Sequence4795	0.4	0.61
>Sequence4796	0.35	0.055
>Sequence4797	0.35	0.432
>Sequence4798	0.45	0.763
>Sequence4799	0.4	0.216
>Sequence4800	0.35	0.36
