Header	RF	SVM
>Sequence17501	0.55	0.305
>Sequence17502	0.4	0.737
>Sequence17503	0.5	0.583
>Sequence17504	0.4	0.164
>Sequence17505	0.35	0.328
>Sequence17506	0.45	0.343
>Sequence17507	0.35	0.794
>Sequence17508	0.45	0.469
>Sequence17509	0.5	0.454
>Sequence17510	0.45	0.766
>Sequence17511	0.4	0.352
>Sequence17512	0.45	0.395
>Sequence17513	0.5	0.179
>Sequence17514	0.45	0.419
>Sequence17515	0.45	0.658
>Sequence17516	0.4	0.534
>Sequence17517	0.5	0.301
>Sequence17518	0.5	0.763
>Sequence17519	0.4	0.741
>Sequence17520	0.4	0.766
>Sequence17521	0.4	0.669
>Sequence17522	0.45	0.757
>Sequence17523	0.55	0.587
>Sequence17524	0.45	0.738
>Sequence17525	0.55	0.173
>Sequence17526	0.35	0.6
>Sequence17527	0.35	0.51
>Sequence17528	0.4	0.243
>Sequence17529	0.45	0.804
>Sequence17530	0.3	0.213
>Sequence17531	0.45	0.62
>Sequence17532	0.4	0.277
>Sequence17533	0.4	0.155
>Sequence17534	0.5	0.673
>Sequence17535	0.4	0.62
>Sequence17536	0.45	0.295
>Sequence17537	0.45	0.742
>Sequence17538	0.55	0.424
>Sequence17539	0.35	0.276
>Sequence17540	0.45	0.15
>Sequence17541	0.5	0.779
>Sequence17542	0.35	0.598
>Sequence17543	0.4	0.814
>Sequence17544	0.4	0.696
>Sequence17545	0.5	0.708
>Sequence17546	0.4	0.185
>Sequence17547	0.4	0.748
>Sequence17548	0.35	0.389
>Sequence17549	0.35	0.328
>Sequence17550	0.45	0.747
>Sequence17551	0.35	0.185
>Sequence17552	0.55	0.65
>Sequence17553	0.4	0.194
>Sequence17554	0.25	0.647
>Sequence17555	0.5	0.251
>Sequence17556	0.4	0.741
>Sequence17557	0.5	0.664
>Sequence17558	0.35	0.23
>Sequence17559	0.4	0.658
>Sequence17560	0.5	0.395
>Sequence17561	0.45	0.793
>Sequence17562	0.45	0.787
>Sequence17563	0.45	0.768
>Sequence17564	0.4	0.363
>Sequence17565	0.35	0.277
>Sequence17566	0.35	0.157
>Sequence17567	0.4	0.379
>Sequence17568	0.6	0.444
>Sequence17569	0.55	0.168
>Sequence17570	0.45	0.698
>Sequence17571	0.4	0.56
>Sequence17572	0.35	0.174
>Sequence17573	0.45	0.772
>Sequence17574	0.4	0.493
>Sequence17575	0.3	0.299
>Sequence17576	0.4	0.237
>Sequence17577	0.35	0.715
>Sequence17578	0.35	0.67
>Sequence17579	0.4	0.519
>Sequence17580	0.4	0.608
>Sequence17581	0.6	0.25
>Sequence17582	0.55	0.228
>Sequence17583	0.4	0.795
>Sequence17584	0.4	0.755
>Sequence17585	0.35	0.044
>Sequence17586	0.4	0.358
>Sequence17587	0.5	0.354
>Sequence17588	0.35	0.134
>Sequence17589	0.45	0.451
>Sequence17590	0.45	0.682
>Sequence17591	0.4	0.35
>Sequence17592	0.4	0.217
>Sequence17593	0.35	0.116
>Sequence17594	0.5	0.702
>Sequence17595	0.5	0.179
>Sequence17596	0.4	0.836
>Sequence17597	0.3	0.094
>Sequence17598	0.5	0.679
>Sequence17599	0.4	0.748
>Sequence17600	0.5	0.397
