Header	RF	SVM
>Sequence3101	0.45	0.762
>Sequence3102	0.5	0.363
>Sequence3103	0.3	0.362
>Sequence3104	0.35	0.368
>Sequence3105	0.2	0.639
>Sequence3106	0.25	0.296
>Sequence3107	0.45	0.544
>Sequence3108	0.45	0.121
>Sequence3109	0.35	0.201
>Sequence3110	0.45	0.619
>Sequence3111	0.35	0.307
>Sequence3112	0.5	0.228
>Sequence3113	0.45	0.795
>Sequence3114	0.5	0.392
>Sequence3115	0.5	0.823
>Sequence3116	0.45	0.333
>Sequence3117	0.5	0.265
>Sequence3118	0.35	0.659
>Sequence3119	0.55	0.12
>Sequence3120	0.45	0.501
>Sequence3121	0.35	0.267
>Sequence3122	0.35	0.182
>Sequence3123	0.45	0.153
>Sequence3124	0.3	0.445
>Sequence3125	0.6	0.421
>Sequence3126	0.4	0.222
>Sequence3127	0.35	0.406
>Sequence3128	0.55	0.395
>Sequence3129	0.55	0.669
>Sequence3130	0.35	0.058
>Sequence3131	0.3	0.541
>Sequence3132	0.45	0.651
>Sequence3133	0.55	0.232
>Sequence3134	0.5	0.217
>Sequence3135	0.6	0.518
>Sequence3136	0.45	0.729
>Sequence3137	0.5	0.772
>Sequence3138	0.5	0.205
>Sequence3139	0.55	0.794
>Sequence3140	0.4	0.323
>Sequence3141	0.4	0.651
>Sequence3142	0.5	0.265
>Sequence3143	0.3	0.414
>Sequence3144	0.3	0.233
>Sequence3145	0.3	0.133
>Sequence3146	0.45	0.172
>Sequence3147	0.5	0.263
>Sequence3148	0.4	0.641
>Sequence3149	0.45	0.372
>Sequence3150	0.5	0.359
>Sequence3151	0.45	0.356
>Sequence3152	0.45	0.216
>Sequence3153	0.4	0.723
>Sequence3154	0.35	0.311
>Sequence3155	0.5	0.706
>Sequence3156	0.5	0.709
>Sequence3157	0.3	0.175
>Sequence3158	0.45	0.419
>Sequence3159	0.4	0.388
>Sequence3160	0.45	0.216
>Sequence3161	0.45	0.301
>Sequence3162	0.45	0.715
>Sequence3163	0.4	0.328
>Sequence3164	0.4	0.579
>Sequence3165	0.4	0.561
>Sequence3166	0.25	0.307
>Sequence3167	0.35	0.116
>Sequence3168	0.45	0.305
>Sequence3169	0.45	0.207
>Sequence3170	0.3	0.397
>Sequence3171	0.35	0.411
>Sequence3172	0.45	0.757
>Sequence3173	0.4	0.684
>Sequence3174	0.5	0.365
>Sequence3175	0.4	0.515
>Sequence3176	0.4	0.264
>Sequence3177	0.4	0.706
>Sequence3178	0.5	0.864
>Sequence3179	0.4	0.781
>Sequence3180	0.45	0.196
>Sequence3181	0.55	0.319
>Sequence3182	0.5	0.653
>Sequence3183	0.35	0.823
>Sequence3184	0.45	0.237
>Sequence3185	0.5	0.211
>Sequence3186	0.35	0.311
>Sequence3187	0.6	0.489
>Sequence3188	0.35	0.166
>Sequence3189	0.4	0.237
>Sequence3190	0.4	0.713
>Sequence3191	0.45	0.185
>Sequence3192	0.6	0.173
>Sequence3193	0.35	0.28
>Sequence3194	0.4	0.201
>Sequence3195	0.4	0.687
>Sequence3196	0.6	0.499
>Sequence3197	0.45	0.278
>Sequence3198	0.35	0.287
>Sequence3199	0.4	0.734
>Sequence3200	0.45	0.161
