Header	RF	SVM
>Sequence14201	0.45	0.723
>Sequence14202	0.35	0.372
>Sequence14203	0.4	0.229
>Sequence14204	0.4	0.168
>Sequence14205	0.4	0.586
>Sequence14206	0.4	0.358
>Sequence14207	0.3	0.809
>Sequence14208	0.35	0.434
>Sequence14209	0.55	0.611
>Sequence14210	0.5	0.282
>Sequence14211	0.5	0.725
>Sequence14212	0.4	0.299
>Sequence14213	0.55	0.279
>Sequence14214	0.25	0.356
>Sequence14215	0.5	0.192
>Sequence14216	0.5	0.241
>Sequence14217	0.45	0.317
>Sequence14218	0.4	0.612
>Sequence14219	0.3	0.243
>Sequence14220	0.5	0.709
>Sequence14221	0.55	0.774
>Sequence14222	0.5	0.698
>Sequence14223	0.5	0.262
>Sequence14224	0.55	0.237
>Sequence14225	0.45	0.19
>Sequence14226	0.55	0.28
>Sequence14227	0.55	0.56
>Sequence14228	0.5	0.754
>Sequence14229	0.4	0.501
>Sequence14230	0.35	0.311
>Sequence14231	0.25	0.57
>Sequence14232	0.45	0.428
>Sequence14233	0.35	0.339
>Sequence14234	0.4	0.141
>Sequence14235	0.4	0.695
>Sequence14236	0.45	0.301
>Sequence14237	0.45	0.234
>Sequence14238	0.4	0.819
>Sequence14239	0.4	0.347
>Sequence14240	0.45	0.758
>Sequence14241	0.5	0.397
>Sequence14242	0.45	0.54
>Sequence14243	0.35	0.414
>Sequence14244	0.45	0.637
>Sequence14245	0.5	0.3
>Sequence14246	0.45	0.669
>Sequence14247	0.45	0.164
>Sequence14248	0.4	0.693
>Sequence14249	0.35	0.588
>Sequence14250	0.35	0.348
>Sequence14251	0.15	0.456
>Sequence14252	0.5	0.567
>Sequence14253	0.45	0.695
>Sequence14254	0.35	0.205
>Sequence14255	0.4	0.679
>Sequence14256	0.2	0.397
>Sequence14257	0.45	0.742
>Sequence14258	0.4	0.619
>Sequence14259	0.5	0.356
>Sequence14260	0.5	0.22
>Sequence14261	0.5	0.733
>Sequence14262	0.5	0.322
>Sequence14263	0.55	0.329
>Sequence14264	0.45	0.298
>Sequence14265	0.35	0.187
>Sequence14266	0.55	0.772
>Sequence14267	0.45	0.791
>Sequence14268	0.45	0.536
>Sequence14269	0.3	0.225
>Sequence14270	0.4	0.611
>Sequence14271	0.4	0.192
>Sequence14272	0.4	0.196
>Sequence14273	0.6	0.383
>Sequence14274	0.5	0.824
>Sequence14275	0.3	0.382
>Sequence14276	0.4	0.795
>Sequence14277	0.35	0.819
>Sequence14278	0.5	0.793
>Sequence14279	0.3	0.595
>Sequence14280	0.45	0.719
>Sequence14281	0.3	0.394
>Sequence14282	0.5	0.658
>Sequence14283	0.5	0.768
>Sequence14284	0.4	0.716
>Sequence14285	0.45	0.377
>Sequence14286	0.4	0.652
>Sequence14287	0.35	0.582
>Sequence14288	0.3	0.192
>Sequence14289	0.55	0.824
>Sequence14290	0.3	0.062
>Sequence14291	0.4	0.285
>Sequence14292	0.4	0.116
>Sequence14293	0.2	0.444
>Sequence14294	0.4	0.683
>Sequence14295	0.4	0.547
>Sequence14296	0.5	0.762
>Sequence14297	0.35	0.537
>Sequence14298	0.45	0.517
>Sequence14299	0.55	0.235
>Sequence14300	0.45	0.753
