Header	RF	SVM
>Sequence8201	0.45	0.611
>Sequence8202	0.45	0.298
>Sequence8203	0.35	0.689
>Sequence8204	0.5	0.553
>Sequence8205	0.45	0.523
>Sequence8206	0.55	0.776
>Sequence8207	0.4	0.791
>Sequence8208	0.4	0.63
>Sequence8209	0.4	0.109
>Sequence8210	0.45	0.763
>Sequence8211	0.6	0.218
>Sequence8212	0.45	0.473
>Sequence8213	0.55	0.2
>Sequence8214	0.5	0.291
>Sequence8215	0.4	0.859
>Sequence8216	0.65	0.317
>Sequence8217	0.5	0.724
>Sequence8218	0.4	0.63
>Sequence8219	0.35	0.206
>Sequence8220	0.4	0.479
>Sequence8221	0.4	0.64
>Sequence8222	0.45	0.184
>Sequence8223	0.35	0.552
>Sequence8224	0.35	0.607
>Sequence8225	0.45	0.658
>Sequence8226	0.5	0.449
>Sequence8227	0.4	0.732
>Sequence8228	0.5	0.259
>Sequence8229	0.45	0.236
>Sequence8230	0.4	0.315
>Sequence8231	0.3	0.237
>Sequence8232	0.4	0.15
>Sequence8233	0.4	0.258
>Sequence8234	0.5	0.812
>Sequence8235	0.5	0.284
>Sequence8236	0.35	0.571
>Sequence8237	0.35	0.605
>Sequence8238	0.5	0.344
>Sequence8239	0.35	0.647
>Sequence8240	0.3	0.375
>Sequence8241	0.35	0.194
>Sequence8242	0.35	0.214
>Sequence8243	0.25	0.362
>Sequence8244	0.45	0.168
>Sequence8245	0.55	0.712
>Sequence8246	0.4	0.445
>Sequence8247	0.5	0.165
>Sequence8248	0.4	0.306
>Sequence8249	0.35	0.369
>Sequence8250	0.35	0.393
>Sequence8251	0.45	0.332
>Sequence8252	0.4	0.779
>Sequence8253	0.35	0.451
>Sequence8254	0.4	0.804
>Sequence8255	0.4	0.703
>Sequence8256	0.55	0.682
>Sequence8257	0.5	0.671
>Sequence8258	0.4	0.402
>Sequence8259	0.45	0.621
>Sequence8260	0.4	0.143
>Sequence8261	0.4	0.461
>Sequence8262	0.55	0.265
>Sequence8263	0.3	0.342
>Sequence8264	0.4	0.699
>Sequence8265	0.45	0.616
>Sequence8266	0.4	0.728
>Sequence8267	0.4	0.45
>Sequence8268	0.3	0.284
>Sequence8269	0.45	0.716
>Sequence8270	0.65	0.226
>Sequence8271	0.25	0.468
>Sequence8272	0.45	0.299
>Sequence8273	0.35	0.669
>Sequence8274	0.5	0.632
>Sequence8275	0.3	0.571
>Sequence8276	0.55	0.223
>Sequence8277	0.4	0.715
>Sequence8278	0.45	0.206
>Sequence8279	0.3	0.423
>Sequence8280	0.4	0.132
>Sequence8281	0.55	0.295
>Sequence8282	0.5	0.203
>Sequence8283	0.4	0.794
>Sequence8284	0.35	0.476
>Sequence8285	0.4	0.668
>Sequence8286	0.45	0.756
>Sequence8287	0.55	0.658
>Sequence8288	0.4	0.141
>Sequence8289	0.45	0.755
>Sequence8290	0.5	0.418
>Sequence8291	0.45	0.76
>Sequence8292	0.5	0.723
>Sequence8293	0.55	0.276
>Sequence8294	0.25	0.145
>Sequence8295	0.45	0.785
>Sequence8296	0.35	0.093
>Sequence8297	0.3	0.411
>Sequence8298	0.45	0.247
>Sequence8299	0.4	0.731
>Sequence8300	0.4	0.675
