Header	RF	SVM
>Sequence801	0.4	0.22
>Sequence802	0.35	0.233
>Sequence803	0.55	0.224
>Sequence804	0.6	0.541
>Sequence805	0.5	0.725
>Sequence806	0.55	0.274
>Sequence807	0.4	0.789
>Sequence808	0.4	0.379
>Sequence809	0.55	0.602
>Sequence810	0.45	0.24
>Sequence811	0.35	0.786
>Sequence812	0.25	0.164
>Sequence813	0.4	0.288
>Sequence814	0.4	0.789
>Sequence815	0.45	0.784
>Sequence816	0.45	0.591
>Sequence817	0.45	0.282
>Sequence818	0.4	0.711
>Sequence819	0.45	0.815
>Sequence820	0.45	0.67
>Sequence821	0.4	0.469
>Sequence822	0.5	0.187
>Sequence823	0.25	0.42
>Sequence824	0.45	0.161
>Sequence825	0.55	0.158
>Sequence826	0.45	0.786
>Sequence827	0.45	0.627
>Sequence828	0.3	0.134
>Sequence829	0.55	0.272
>Sequence830	0.45	0.219
>Sequence831	0.45	0.258
>Sequence832	0.5	0.235
>Sequence833	0.55	0.254
>Sequence834	0.45	0.433
>Sequence835	0.5	0.233
>Sequence836	0.25	0.48
>Sequence837	0.45	0.542
>Sequence838	0.6	0.212
>Sequence839	0.45	0.788
>Sequence840	0.45	0.442
>Sequence841	0.4	0.614
>Sequence842	0.5	0.1
>Sequence843	0.4	0.651
>Sequence844	0.45	0.189
>Sequence845	0.4	0.198
>Sequence846	0.25	0.563
>Sequence847	0.5	0.188
>Sequence848	0.45	0.63
>Sequence849	0.5	0.347
>Sequence850	0.4	0.288
>Sequence851	0.55	0.285
>Sequence852	0.45	0.219
>Sequence853	0.5	0.293
>Sequence854	0.45	0.698
>Sequence855	0.4	0.293
>Sequence856	0.4	0.657
>Sequence857	0.45	0.309
>Sequence858	0.45	0.17
>Sequence859	0.5	0.517
>Sequence860	0.6	0.761
>Sequence861	0.35	0.241
>Sequence862	0.35	0.246
>Sequence863	0.5	0.725
>Sequence864	0.45	0.225
>Sequence865	0.35	0.702
>Sequence866	0.45	0.138
>Sequence867	0.5	0.716
>Sequence868	0.45	0.304
>Sequence869	0.55	0.24
>Sequence870	0.5	0.085
>Sequence871	0.55	0.723
>Sequence872	0.4	0.638
>Sequence873	0.45	0.546
>Sequence874	0.45	0.325
>Sequence875	0.45	0.187
>Sequence876	0.5	0.169
>Sequence877	0.55	0.657
>Sequence878	0.35	0.395
>Sequence879	0.45	0.166
>Sequence880	0.45	0.726
>Sequence881	0.4	0.733
>Sequence882	0.5	0.252
>Sequence883	0.35	0.431
>Sequence884	0.4	0.659
>Sequence885	0.4	0.475
>Sequence886	0.45	0.241
>Sequence887	0.55	0.135
>Sequence888	0.2	0.387
>Sequence889	0.45	0.605
>Sequence890	0.35	0.221
>Sequence891	0.5	0.757
>Sequence892	0.5	0.166
>Sequence893	0.45	0.612
>Sequence894	0.4	0.18
>Sequence895	0.45	0.353
>Sequence896	0.45	0.234
>Sequence897	0.4	0.81
>Sequence898	0.45	0.284
>Sequence899	0.45	0.407
>Sequence900	0.45	0.262
