Header	RF	SVM
>Sequence18601	0.45	0.332
>Sequence18602	0.45	0.741
>Sequence18603	0.5	0.771
>Sequence18604	0.4	0.377
>Sequence18605	0.4	0.768
>Sequence18606	0.5	0.743
>Sequence18607	0.5	0.766
>Sequence18608	0.45	0.705
>Sequence18609	0.4	0.738
>Sequence18610	0.55	0.32
>Sequence18611	0.45	0.463
>Sequence18612	0.55	0.802
>Sequence18613	0.4	0.643
>Sequence18614	0.5	0.829
>Sequence18615	0.25	0.339
>Sequence18616	0.5	0.175
>Sequence18617	0.35	0.214
>Sequence18618	0.6	0.253
>Sequence18619	0.5	0.764
>Sequence18620	0.55	0.769
>Sequence18621	0.45	0.836
>Sequence18622	0.5	0.228
>Sequence18623	0.45	0.24
>Sequence18624	0.6	0.421
>Sequence18625	0.4	0.545
>Sequence18626	0.4	0.665
>Sequence18627	0.55	0.787
>Sequence18628	0.45	0.217
>Sequence18629	0.55	0.434
>Sequence18630	0.25	0.122
>Sequence18631	0.35	0.325
>Sequence18632	0.5	0.267
>Sequence18633	0.6	0.279
>Sequence18634	0.55	0.219
>Sequence18635	0.45	0.221
>Sequence18636	0.35	0.162
>Sequence18637	0.35	0.4
>Sequence18638	0.5	0.214
>Sequence18639	0.6	0.351
>Sequence18640	0.45	0.75
>Sequence18641	0.5	0.616
>Sequence18642	0.45	0.274
>Sequence18643	0.4	0.824
>Sequence18644	0.4	0.678
>Sequence18645	0.5	0.644
>Sequence18646	0.4	0.389
>Sequence18647	0.4	0.266
>Sequence18648	0.5	0.678
>Sequence18649	0.3	0.87
>Sequence18650	0.35	0.829
>Sequence18651	0.45	0.274
>Sequence18652	0.4	0.17
>Sequence18653	0.4	0.088
>Sequence18654	0.35	0.33
>Sequence18655	0.25	0.216
>Sequence18656	0.4	0.324
>Sequence18657	0.4	0.405
>Sequence18658	0.45	0.307
>Sequence18659	0.4	0.328
>Sequence18660	0.55	0.398
>Sequence18661	0.35	0.623
>Sequence18662	0.3	0.809
>Sequence18663	0.45	0.718
>Sequence18664	0.4	0.769
>Sequence18665	0.45	0.568
>Sequence18666	0.5	0.222
>Sequence18667	0.35	0.667
>Sequence18668	0.55	0.29
>Sequence18669	0.5	0.318
>Sequence18670	0.5	0.682
>Sequence18671	0.45	0.187
>Sequence18672	0.35	0.226
>Sequence18673	0.35	0.214
>Sequence18674	0.4	0.714
>Sequence18675	0.4	0.683
>Sequence18676	0.5	0.721
>Sequence18677	0.4	0.618
>Sequence18678	0.45	0.469
>Sequence18679	0.45	0.234
>Sequence18680	0.55	0.276
>Sequence18681	0.6	0.197
>Sequence18682	0.45	0.226
>Sequence18683	0.5	0.835
>Sequence18684	0.45	0.72
>Sequence18685	0.25	0.326
>Sequence18686	0.4	0.338
>Sequence18687	0.4	0.227
>Sequence18688	0.4	0.175
>Sequence18689	0.4	0.77
>Sequence18690	0.5	0.547
>Sequence18691	0.35	0.225
>Sequence18692	0.3	0.817
>Sequence18693	0.3	0.653
>Sequence18694	0.45	0.767
>Sequence18695	0.4	0.277
>Sequence18696	0.45	0.74
>Sequence18697	0.45	0.535
>Sequence18698	0.2	0.586
>Sequence18699	0.5	0.242
>Sequence18700	0.45	0.257
