Header	RF	SVM
>Sequence4901	0.45	0.799
>Sequence4902	0.5	0.655
>Sequence4903	0.4	0.277
>Sequence4904	0.45	0.747
>Sequence4905	0.35	0.093
>Sequence4906	0.35	0.267
>Sequence4907	0.4	0.734
>Sequence4908	0.35	0.299
>Sequence4909	0.4	0.641
>Sequence4910	0.4	0.296
>Sequence4911	0.5	0.275
>Sequence4912	0.45	0.392
>Sequence4913	0.4	0.795
>Sequence4914	0.35	0.76
>Sequence4915	0.3	0.385
>Sequence4916	0.35	0.338
>Sequence4917	0.55	0.288
>Sequence4918	0.45	0.216
>Sequence4919	0.45	0.22
>Sequence4920	0.55	0.264
>Sequence4921	0.5	0.826
>Sequence4922	0.35	0.697
>Sequence4923	0.45	0.755
>Sequence4924	0.5	0.704
>Sequence4925	0.45	0.39
>Sequence4926	0.5	0.228
>Sequence4927	0.4	0.22
>Sequence4928	0.4	0.756
>Sequence4929	0.5	0.775
>Sequence4930	0.45	0.546
>Sequence4931	0.35	0.298
>Sequence4932	0.4	0.787
>Sequence4933	0.35	0.24
>Sequence4934	0.45	0.235
>Sequence4935	0.4	0.248
>Sequence4936	0.45	0.172
>Sequence4937	0.5	0.158
>Sequence4938	0.4	0.284
>Sequence4939	0.5	0.287
>Sequence4940	0.45	0.523
>Sequence4941	0.3	0.365
>Sequence4942	0.6	0.29
>Sequence4943	0.4	0.428
>Sequence4944	0.45	0.309
>Sequence4945	0.4	0.785
>Sequence4946	0.45	0.322
>Sequence4947	0.4	0.641
>Sequence4948	0.4	0.271
>Sequence4949	0.5	0.298
>Sequence4950	0.5	0.344
>Sequence4951	0.2	0.056
>Sequence4952	0.65	0.234
>Sequence4953	0.4	0.137
>Sequence4954	0.45	0.192
>Sequence4955	0.4	0.276
>Sequence4956	0.5	0.675
>Sequence4957	0.55	0.187
>Sequence4958	0.5	0.221
>Sequence4959	0.45	0.78
>Sequence4960	0.55	0.323
>Sequence4961	0.6	0.342
>Sequence4962	0.55	0.42
>Sequence4963	0.4	0.796
>Sequence4964	0.4	0.246
>Sequence4965	0.4	0.74
>Sequence4966	0.45	0.798
>Sequence4967	0.5	0.775
>Sequence4968	0.4	0.298
>Sequence4969	0.4	0.302
>Sequence4970	0.45	0.798
>Sequence4971	0.4	0.157
>Sequence4972	0.45	0.342
>Sequence4973	0.5	0.738
>Sequence4974	0.45	0.377
>Sequence4975	0.35	0.155
>Sequence4976	0.5	0.503
>Sequence4977	0.4	0.727
>Sequence4978	0.45	0.748
>Sequence4979	0.4	0.151
>Sequence4980	0.4	0.723
>Sequence4981	0.55	0.249
>Sequence4982	0.45	0.81
>Sequence4983	0.25	0.283
>Sequence4984	0.55	0.359
>Sequence4985	0.55	0.322
>Sequence4986	0.35	0.247
>Sequence4987	0.4	0.412
>Sequence4988	0.45	0.212
>Sequence4989	0.45	0.257
>Sequence4990	0.5	0.209
>Sequence4991	0.3	0.227
>Sequence4992	0.5	0.723
>Sequence4993	0.45	0.315
>Sequence4994	0.35	0.313
>Sequence4995	0.3	0.362
>Sequence4996	0.45	0.205
>Sequence4997	0.4	0.316
>Sequence4998	0.45	0.142
>Sequence4999	0.5	0.348
>Sequence5000	0.4	0.805
