Header	RF	SVM
>Sequence23801	0.5	0.474
>Sequence23802	0.45	0.794
>Sequence23803	0.4	0.795
>Sequence23804	0.35	0.678
>Sequence23805	0.35	0.148
>Sequence23806	0.4	0.451
>Sequence23807	0.4	0.427
>Sequence23808	0.35	0.703
>Sequence23809	0.45	0.721
>Sequence23810	0.4	0.434
>Sequence23811	0.55	0.546
>Sequence23812	0.35	0.55
>Sequence23813	0.4	0.163
>Sequence23814	0.35	0.269
>Sequence23815	0.5	0.718
>Sequence23816	0.5	0.775
>Sequence23817	0.3	0.253
>Sequence23818	0.4	0.573
>Sequence23819	0.4	0.176
>Sequence23820	0.3	0.324
>Sequence23821	0.4	0.775
>Sequence23822	0.4	0.246
>Sequence23823	0.4	0.308
>Sequence23824	0.35	0.366
>Sequence23825	0.4	0.814
>Sequence23826	0.5	0.229
>Sequence23827	0.45	0.682
>Sequence23828	0.5	0.388
>Sequence23829	0.4	0.224
>Sequence23830	0.55	0.724
>Sequence23831	0.4	0.484
>Sequence23832	0.45	0.72
