Header	RF	SVM
>Sequence2201	0.45	0.308
>Sequence2202	0.45	0.701
>Sequence2203	0.4	0.737
>Sequence2204	0.5	0.779
>Sequence2205	0.45	0.72
>Sequence2206	0.45	0.378
>Sequence2207	0.5	0.372
>Sequence2208	0.35	0.565
>Sequence2209	0.45	0.326
>Sequence2210	0.55	0.582
>Sequence2211	0.5	0.802
>Sequence2212	0.45	0.207
>Sequence2213	0.55	0.785
>Sequence2214	0.3	0.229
>Sequence2215	0.6	0.137
>Sequence2216	0.5	0.361
>Sequence2217	0.4	0.348
>Sequence2218	0.45	0.67
>Sequence2219	0.45	0.417
>Sequence2220	0.45	0.181
>Sequence2221	0.45	0.75
>Sequence2222	0.35	0.058
>Sequence2223	0.35	0.516
>Sequence2224	0.4	0.795
>Sequence2225	0.45	0.17
>Sequence2226	0.4	0.228
>Sequence2227	0.45	0.555
>Sequence2228	0.6	0.294
>Sequence2229	0.35	0.41
>Sequence2230	0.45	0.304
>Sequence2231	0.35	0.392
>Sequence2232	0.45	0.766
>Sequence2233	0.55	0.532
>Sequence2234	0.5	0.417
>Sequence2235	0.55	0.799
>Sequence2236	0.35	0.257
>Sequence2237	0.3	0.321
>Sequence2238	0.5	0.474
>Sequence2239	0.4	0.69
>Sequence2240	0.5	0.684
>Sequence2241	0.35	0.204
>Sequence2242	0.3	0.391
>Sequence2243	0.4	0.327
>Sequence2244	0.55	0.228
>Sequence2245	0.5	0.173
>Sequence2246	0.4	0.433
>Sequence2247	0.45	0.268
>Sequence2248	0.25	0.206
>Sequence2249	0.4	0.236
>Sequence2250	0.35	0.57
>Sequence2251	0.45	0.256
>Sequence2252	0.45	0.76
>Sequence2253	0.4	0.142
>Sequence2254	0.5	0.727
>Sequence2255	0.4	0.823
>Sequence2256	0.45	0.111
>Sequence2257	0.45	0.413
>Sequence2258	0.45	0.18
>Sequence2259	0.4	0.527
>Sequence2260	0.55	0.154
>Sequence2261	0.35	0.203
>Sequence2262	0.3	0.325
>Sequence2263	0.45	0.543
>Sequence2264	0.6	0.346
>Sequence2265	0.45	0.267
>Sequence2266	0.45	0.523
>Sequence2267	0.4	0.528
>Sequence2268	0.4	0.207
>Sequence2269	0.5	0.347
>Sequence2270	0.4	0.658
>Sequence2271	0.4	0.34
>Sequence2272	0.45	0.502
>Sequence2273	0.5	0.791
>Sequence2274	0.5	0.804
>Sequence2275	0.45	0.474
>Sequence2276	0.45	0.253
>Sequence2277	0.45	0.647
>Sequence2278	0.5	0.198
>Sequence2279	0.45	0.286
>Sequence2280	0.45	0.556
>Sequence2281	0.5	0.217
>Sequence2282	0.45	0.745
>Sequence2283	0.5	0.278
>Sequence2284	0.6	0.3
>Sequence2285	0.35	0.176
>Sequence2286	0.5	0.311
>Sequence2287	0.45	0.306
>Sequence2288	0.6	0.205
>Sequence2289	0.3	0.4
>Sequence2290	0.35	0.163
>Sequence2291	0.65	0.197
>Sequence2292	0.5	0.508
>Sequence2293	0.5	0.219
>Sequence2294	0.45	0.216
>Sequence2295	0.45	0.185
>Sequence2296	0.5	0.197
>Sequence2297	0.55	0.411
>Sequence2298	0.45	0.769
>Sequence2299	0.45	0.255
>Sequence2300	0.45	0.292
