Header	RF	SVM
>Sequence3501	0.45	0.699
>Sequence3502	0.4	0.439
>Sequence3503	0.35	0.29
>Sequence3504	0.3	0.267
>Sequence3505	0.4	0.262
>Sequence3506	0.5	0.626
>Sequence3507	0.45	0.188
>Sequence3508	0.35	0.638
>Sequence3509	0.35	0.169
>Sequence3510	0.45	0.661
>Sequence3511	0.45	0.251
>Sequence3512	0.5	0.661
>Sequence3513	0.3	0.064
>Sequence3514	0.4	0.805
>Sequence3515	0.35	0.209
>Sequence3516	0.55	0.746
>Sequence3517	0.4	0.688
>Sequence3518	0.45	0.343
>Sequence3519	0.45	0.102
>Sequence3520	0.45	0.381
>Sequence3521	0.25	0.232
>Sequence3522	0.45	0.724
>Sequence3523	0.5	0.544
>Sequence3524	0.5	0.76
>Sequence3525	0.5	0.725
>Sequence3526	0.55	0.15
>Sequence3527	0.55	0.318
>Sequence3528	0.45	0.415
>Sequence3529	0.4	0.281
>Sequence3530	0.5	0.223
>Sequence3531	0.4	0.552
>Sequence3532	0.3	0.123
>Sequence3533	0.4	0.728
>Sequence3534	0.4	0.727
>Sequence3535	0.6	0.393
>Sequence3536	0.45	0.233
>Sequence3537	0.35	0.384
>Sequence3538	0.45	0.787
>Sequence3539	0.3	0.12
>Sequence3540	0.45	0.118
>Sequence3541	0.45	0.808
>Sequence3542	0.5	0.291
>Sequence3543	0.4	0.599
>Sequence3544	0.4	0.158
>Sequence3545	0.45	0.716
>Sequence3546	0.45	0.111
>Sequence3547	0.6	0.254
>Sequence3548	0.5	0.213
>Sequence3549	0.45	0.26
>Sequence3550	0.4	0.588
>Sequence3551	0.5	0.72
>Sequence3552	0.4	0.386
>Sequence3553	0.5	0.278
>Sequence3554	0.5	0.3
>Sequence3555	0.55	0.412
>Sequence3556	0.5	0.776
>Sequence3557	0.45	0.701
>Sequence3558	0.45	0.231
>Sequence3559	0.4	0.739
>Sequence3560	0.4	0.374
>Sequence3561	0.4	0.65
>Sequence3562	0.4	0.636
>Sequence3563	0.45	0.797
>Sequence3564	0.5	0.155
>Sequence3565	0.4	0.262
>Sequence3566	0.55	0.243
>Sequence3567	0.4	0.561
>Sequence3568	0.3	0.453
>Sequence3569	0.45	0.417
>Sequence3570	0.5	0.125
>Sequence3571	0.45	0.315
>Sequence3572	0.5	0.241
>Sequence3573	0.6	0.233
>Sequence3574	0.4	0.143
>Sequence3575	0.4	0.685
>Sequence3576	0.45	0.198
>Sequence3577	0.4	0.342
>Sequence3578	0.3	0.199
>Sequence3579	0.55	0.762
>Sequence3580	0.4	0.141
>Sequence3581	0.45	0.728
>Sequence3582	0.4	0.123
>Sequence3583	0.45	0.252
>Sequence3584	0.4	0.363
>Sequence3585	0.45	0.661
>Sequence3586	0.5	0.63
>Sequence3587	0.55	0.811
>Sequence3588	0.55	0.333
>Sequence3589	0.4	0.661
>Sequence3590	0.35	0.262
>Sequence3591	0.4	0.226
>Sequence3592	0.35	0.758
>Sequence3593	0.4	0.426
>Sequence3594	0.35	0.237
>Sequence3595	0.35	0.337
>Sequence3596	0.5	0.152
>Sequence3597	0.45	0.72
>Sequence3598	0.5	0.739
>Sequence3599	0.4	0.754
>Sequence3600	0.4	0.161
