Header	RF	SVM
>Sequence21401	0.5	0.243
>Sequence21402	0.45	0.76
>Sequence21403	0.65	0.37
>Sequence21404	0.45	0.645
>Sequence21405	0.5	0.522
>Sequence21406	0.45	0.641
>Sequence21407	0.45	0.727
>Sequence21408	0.45	0.74
>Sequence21409	0.4	0.689
>Sequence21410	0.5	0.794
>Sequence21411	0.45	0.518
>Sequence21412	0.5	0.492
>Sequence21413	0.4	0.796
>Sequence21414	0.3	0.128
>Sequence21415	0.6	0.231
>Sequence21416	0.35	0.738
>Sequence21417	0.2	0.462
>Sequence21418	0.4	0.365
>Sequence21419	0.5	0.793
>Sequence21420	0.45	0.781
>Sequence21421	0.45	0.812
>Sequence21422	0.5	0.225
>Sequence21423	0.45	0.357
>Sequence21424	0.6	0.348
>Sequence21425	0.45	0.753
>Sequence21426	0.35	0.511
>Sequence21427	0.45	0.817
>Sequence21428	0.4	0.374
>Sequence21429	0.35	0.771
>Sequence21430	0.55	0.54
>Sequence21431	0.5	0.074
>Sequence21432	0.45	0.715
>Sequence21433	0.45	0.828
>Sequence21434	0.55	0.545
>Sequence21435	0.45	0.542
>Sequence21436	0.45	0.637
>Sequence21437	0.45	0.694
>Sequence21438	0.5	0.341
>Sequence21439	0.4	0.267
>Sequence21440	0.4	0.261
>Sequence21441	0.5	0.77
>Sequence21442	0.4	0.699
>Sequence21443	0.4	0.779
>Sequence21444	0.4	0.784
>Sequence21445	0.4	0.58
>Sequence21446	0.5	0.746
>Sequence21447	0.4	0.797
>Sequence21448	0.4	0.303
>Sequence21449	0.4	0.186
>Sequence21450	0.3	0.793
>Sequence21451	0.35	0.216
>Sequence21452	0.5	0.768
>Sequence21453	0.3	0.315
>Sequence21454	0.4	0.216
>Sequence21455	0.35	0.752
>Sequence21456	0.4	0.372
>Sequence21457	0.5	0.796
>Sequence21458	0.4	0.21
>Sequence21459	0.3	0.347
>Sequence21460	0.4	0.725
>Sequence21461	0.45	0.347
>Sequence21462	0.55	0.242
>Sequence21463	0.45	0.193
>Sequence21464	0.35	0.742
>Sequence21465	0.5	0.622
>Sequence21466	0.4	0.369
>Sequence21467	0.5	0.213
>Sequence21468	0.5	0.731
>Sequence21469	0.35	0.803
>Sequence21470	0.45	0.69
>Sequence21471	0.3	0.602
>Sequence21472	0.6	0.317
>Sequence21473	0.55	0.319
>Sequence21474	0.45	0.802
>Sequence21475	0.45	0.704
>Sequence21476	0.45	0.759
>Sequence21477	0.4	0.639
>Sequence21478	0.45	0.696
>Sequence21479	0.45	0.514
>Sequence21480	0.4	0.25
>Sequence21481	0.45	0.238
>Sequence21482	0.25	0.535
>Sequence21483	0.45	0.693
>Sequence21484	0.4	0.129
>Sequence21485	0.5	0.432
>Sequence21486	0.35	0.278
>Sequence21487	0.45	0.272
>Sequence21488	0.4	0.29
>Sequence21489	0.55	0.715
>Sequence21490	0.5	0.644
>Sequence21491	0.35	0.638
>Sequence21492	0.45	0.82
>Sequence21493	0.4	0.375
>Sequence21494	0.3	0.437
>Sequence21495	0.2	0.591
>Sequence21496	0.55	0.801
>Sequence21497	0.4	0.718
>Sequence21498	0.45	0.31
>Sequence21499	0.45	0.153
>Sequence21500	0.45	0.265
