Header	RF	SVM
>Sequence11001	0.5	0.056
>Sequence11002	0.5	0.444
>Sequence11003	0.45	0.19
>Sequence11004	0.45	0.609
>Sequence11005	0.45	0.803
>Sequence11006	0.45	0.759
>Sequence11007	0.45	0.717
>Sequence11008	0.5	0.72
>Sequence11009	0.5	0.257
>Sequence11010	0.5	0.808
>Sequence11011	0.15	0.17
>Sequence11012	0.5	0.751
>Sequence11013	0.5	0.679
>Sequence11014	0.5	0.801
>Sequence11015	0.35	0.339
>Sequence11016	0.5	0.232
>Sequence11017	0.45	0.253
>Sequence11018	0.4	0.501
>Sequence11019	0.5	0.11
>Sequence11020	0.35	0.389
>Sequence11021	0.45	0.735
>Sequence11022	0.35	0.543
>Sequence11023	0.5	0.453
>Sequence11024	0.35	0.376
>Sequence11025	0.45	0.551
>Sequence11026	0.45	0.173
>Sequence11027	0.3	0.32
>Sequence11028	0.5	0.72
>Sequence11029	0.45	0.074
>Sequence11030	0.4	0.497
>Sequence11031	0.45	0.299
>Sequence11032	0.5	0.259
>Sequence11033	0.4	0.385
>Sequence11034	0.45	0.704
>Sequence11035	0.35	0.197
>Sequence11036	0.55	0.594
>Sequence11037	0.35	0.329
>Sequence11038	0.55	0.769
>Sequence11039	0.5	0.772
>Sequence11040	0.45	0.647
>Sequence11041	0.4	0.607
>Sequence11042	0.4	0.754
>Sequence11043	0.45	0.759
>Sequence11044	0.5	0.193
>Sequence11045	0.45	0.618
>Sequence11046	0.4	0.372
>Sequence11047	0.3	0.313
>Sequence11048	0.35	0.412
>Sequence11049	0.55	0.314
>Sequence11050	0.5	0.765
>Sequence11051	0.3	0.28
>Sequence11052	0.5	0.757
>Sequence11053	0.45	0.547
>Sequence11054	0.45	0.732
>Sequence11055	0.5	0.735
>Sequence11056	0.5	0.201
>Sequence11057	0.55	0.609
>Sequence11058	0.55	0.703
>Sequence11059	0.5	0.794
>Sequence11060	0.45	0.765
>Sequence11061	0.35	0.294
>Sequence11062	0.6	0.145
>Sequence11063	0.5	0.778
>Sequence11064	0.45	0.789
>Sequence11065	0.45	0.409
>Sequence11066	0.45	0.844
>Sequence11067	0.6	0.163
>Sequence11068	0.3	0.15
>Sequence11069	0.45	0.378
>Sequence11070	0.35	0.141
>Sequence11071	0.35	0.764
>Sequence11072	0.35	0.119
>Sequence11073	0.35	0.409
>Sequence11074	0.6	0.308
>Sequence11075	0.35	0.876
>Sequence11076	0.3	0.196
>Sequence11077	0.5	0.819
>Sequence11078	0.45	0.647
>Sequence11079	0.45	0.422
>Sequence11080	0.5	0.721
>Sequence11081	0.45	0.715
>Sequence11082	0.55	0.138
>Sequence11083	0.3	0.513
>Sequence11084	0.45	0.637
>Sequence11085	0.5	0.306
>Sequence11086	0.35	0.299
>Sequence11087	0.25	0.484
>Sequence11088	0.4	0.701
>Sequence11089	0.5	0.703
>Sequence11090	0.45	0.682
>Sequence11091	0.4	0.152
>Sequence11092	0.45	0.14
>Sequence11093	0.6	0.177
>Sequence11094	0.45	0.716
>Sequence11095	0.45	0.609
>Sequence11096	0.6	0.404
>Sequence11097	0.45	0.302
>Sequence11098	0.35	0.198
>Sequence11099	0.45	0.299
>Sequence11100	0.45	0.362
