Header	RF	SVM
>Sequence3601	0.55	0.381
>Sequence3602	0.45	0.3
>Sequence3603	0.35	0.222
>Sequence3604	0.45	0.663
>Sequence3605	0.45	0.34
>Sequence3606	0.4	0.728
>Sequence3607	0.1	0.233
>Sequence3608	0.45	0.542
>Sequence3609	0.3	0.069
>Sequence3610	0.35	0.234
>Sequence3611	0.4	0.783
>Sequence3612	0.4	0.766
>Sequence3613	0.45	0.304
>Sequence3614	0.55	0.307
>Sequence3615	0.55	0.407
>Sequence3616	0.55	0.333
>Sequence3617	0.55	0.346
>Sequence3618	0.55	0.604
>Sequence3619	0.35	0.265
>Sequence3620	0.3	0.281
>Sequence3621	0.15	0.332
>Sequence3622	0.35	0.507
>Sequence3623	0.25	0.47
>Sequence3624	0.4	0.566
>Sequence3625	0.5	0.261
>Sequence3626	0.5	0.774
>Sequence3627	0.4	0.704
>Sequence3628	0.45	0.698
>Sequence3629	0.45	0.755
>Sequence3630	0.5	0.122
>Sequence3631	0.45	0.641
>Sequence3632	0.35	0.138
>Sequence3633	0.45	0.238
>Sequence3634	0.4	0.29
>Sequence3635	0.4	0.177
>Sequence3636	0.5	0.362
>Sequence3637	0.35	0.32
>Sequence3638	0.4	0.09
>Sequence3639	0.4	0.754
>Sequence3640	0.45	0.309
>Sequence3641	0.4	0.413
>Sequence3642	0.45	0.712
>Sequence3643	0.45	0.124
>Sequence3644	0.45	0.772
>Sequence3645	0.45	0.194
>Sequence3646	0.5	0.275
>Sequence3647	0.4	0.577
>Sequence3648	0.35	0.226
>Sequence3649	0.4	0.799
>Sequence3650	0.4	0.457
>Sequence3651	0.4	0.793
>Sequence3652	0.45	0.614
>Sequence3653	0.5	0.673
>Sequence3654	0.45	0.185
>Sequence3655	0.45	0.787
>Sequence3656	0.15	0.287
>Sequence3657	0.45	0.192
>Sequence3658	0.4	0.698
>Sequence3659	0.5	0.198
>Sequence3660	0.4	0.761
>Sequence3661	0.35	0.175
>Sequence3662	0.3	0.441
>Sequence3663	0.5	0.804
>Sequence3664	0.45	0.341
>Sequence3665	0.4	0.621
>Sequence3666	0.3	0.157
>Sequence3667	0.55	0.795
>Sequence3668	0.35	0.356
>Sequence3669	0.4	0.605
>Sequence3670	0.5	0.433
>Sequence3671	0.45	0.778
>Sequence3672	0.45	0.318
>Sequence3673	0.45	0.316
>Sequence3674	0.45	0.247
>Sequence3675	0.45	0.428
>Sequence3676	0.35	0.745
>Sequence3677	0.35	0.436
>Sequence3678	0.6	0.296
>Sequence3679	0.45	0.679
>Sequence3680	0.55	0.802
>Sequence3681	0.5	0.249
>Sequence3682	0.55	0.243
>Sequence3683	0.4	0.175
>Sequence3684	0.35	0.33
>Sequence3685	0.45	0.327
>Sequence3686	0.5	0.688
>Sequence3687	0.45	0.112
>Sequence3688	0.5	0.156
>Sequence3689	0.45	0.372
>Sequence3690	0.3	0.32
>Sequence3691	0.25	0.062
>Sequence3692	0.5	0.804
>Sequence3693	0.4	0.235
>Sequence3694	0.4	0.535
>Sequence3695	0.35	0.642
>Sequence3696	0.45	0.733
>Sequence3697	0.35	0.633
>Sequence3698	0.45	0.745
>Sequence3699	0.45	0.758
>Sequence3700	0.35	0.349
