Header	RF	SVM
>Sequence16501	0.35	0.624
>Sequence16502	0.35	0.112
>Sequence16503	0.35	0.366
>Sequence16504	0.4	0.791
>Sequence16505	0.4	0.649
>Sequence16506	0.6	0.172
>Sequence16507	0.45	0.822
>Sequence16508	0.4	0.114
>Sequence16509	0.45	0.762
>Sequence16510	0.25	0.208
>Sequence16511	0.5	0.681
>Sequence16512	0.45	0.222
>Sequence16513	0.45	0.813
>Sequence16514	0.45	0.779
>Sequence16515	0.3	0.22
>Sequence16516	0.45	0.306
>Sequence16517	0.3	0.325
>Sequence16518	0.5	0.189
>Sequence16519	0.45	0.802
>Sequence16520	0.45	0.346
>Sequence16521	0.3	0.326
>Sequence16522	0.3	0.511
>Sequence16523	0.5	0.607
>Sequence16524	0.45	0.43
>Sequence16525	0.5	0.339
>Sequence16526	0.5	0.737
>Sequence16527	0.5	0.605
>Sequence16528	0.4	0.558
>Sequence16529	0.55	0.714
>Sequence16530	0.4	0.706
>Sequence16531	0.5	0.751
>Sequence16532	0.5	0.145
>Sequence16533	0.6	0.368
>Sequence16534	0.6	0.093
>Sequence16535	0.35	0.501
>Sequence16536	0.3	0.257
>Sequence16537	0.45	0.395
>Sequence16538	0.4	0.439
>Sequence16539	0.45	0.767
>Sequence16540	0.5	0.747
>Sequence16541	0.45	0.801
>Sequence16542	0.35	0.856
>Sequence16543	0.45	0.217
>Sequence16544	0.4	0.41
>Sequence16545	0.45	0.783
>Sequence16546	0.55	0.394
>Sequence16547	0.45	0.511
>Sequence16548	0.45	0.325
>Sequence16549	0.45	0.759
>Sequence16550	0.45	0.235
>Sequence16551	0.35	0.767
>Sequence16552	0.5	0.358
>Sequence16553	0.6	0.135
>Sequence16554	0.25	0.271
>Sequence16555	0.25	0.596
>Sequence16556	0.45	0.455
>Sequence16557	0.45	0.656
>Sequence16558	0.45	0.744
>Sequence16559	0.45	0.29
>Sequence16560	0.45	0.737
>Sequence16561	0.35	0.232
>Sequence16562	0.45	0.755
>Sequence16563	0.45	0.382
>Sequence16564	0.4	0.728
>Sequence16565	0.35	0.151
>Sequence16566	0.45	0.728
>Sequence16567	0.5	0.357
>Sequence16568	0.55	0.667
>Sequence16569	0.3	0.123
>Sequence16570	0.55	0.398
>Sequence16571	0.5	0.153
>Sequence16572	0.45	0.723
>Sequence16573	0.55	0.762
>Sequence16574	0.3	0.496
>Sequence16575	0.55	0.289
>Sequence16576	0.45	0.803
>Sequence16577	0.25	0.374
>Sequence16578	0.4	0.312
>Sequence16579	0.55	0.329
>Sequence16580	0.4	0.335
>Sequence16581	0.55	0.731
>Sequence16582	0.5	0.168
>Sequence16583	0.5	0.706
>Sequence16584	0.3	0.432
>Sequence16585	0.3	0.329
>Sequence16586	0.55	0.422
>Sequence16587	0.4	0.121
>Sequence16588	0.45	0.701
>Sequence16589	0.5	0.846
>Sequence16590	0.3	0.289
>Sequence16591	0.45	0.247
>Sequence16592	0.6	0.381
>Sequence16593	0.4	0.71
>Sequence16594	0.3	0.243
>Sequence16595	0.4	0.461
>Sequence16596	0.5	0.735
>Sequence16597	0.35	0.486
>Sequence16598	0.4	0.299
>Sequence16599	0.55	0.525
>Sequence16600	0.5	0.679
