Header	RF	SVM
>Sequence21301	0.4	0.683
>Sequence21302	0.45	0.803
>Sequence21303	0.45	0.502
>Sequence21304	0.2	0.588
>Sequence21305	0.55	0.363
>Sequence21306	0.45	0.78
>Sequence21307	0.3	0.317
>Sequence21308	0.35	0.62
>Sequence21309	0.4	0.411
>Sequence21310	0.4	0.672
>Sequence21311	0.25	0.265
>Sequence21312	0.6	0.741
>Sequence21313	0.45	0.292
>Sequence21314	0.45	0.292
>Sequence21315	0.35	0.703
>Sequence21316	0.5	0.427
>Sequence21317	0.45	0.751
>Sequence21318	0.5	0.556
>Sequence21319	0.45	0.701
>Sequence21320	0.45	0.78
>Sequence21321	0.45	0.718
>Sequence21322	0.45	0.336
>Sequence21323	0.4	0.174
>Sequence21324	0.2	0.39
>Sequence21325	0.25	0.237
>Sequence21326	0.5	0.133
>Sequence21327	0.55	0.563
>Sequence21328	0.5	0.632
>Sequence21329	0.4	0.615
>Sequence21330	0.45	0.363
>Sequence21331	0.3	0.256
>Sequence21332	0.25	0.204
>Sequence21333	0.4	0.662
>Sequence21334	0.5	0.829
>Sequence21335	0.4	0.791
>Sequence21336	0.35	0.306
>Sequence21337	0.45	0.673
>Sequence21338	0.5	0.409
>Sequence21339	0.5	0.736
>Sequence21340	0.4	0.709
>Sequence21341	0.2	0.369
>Sequence21342	0.35	0.716
>Sequence21343	0.45	0.713
>Sequence21344	0.4	0.72
>Sequence21345	0.4	0.294
>Sequence21346	0.3	0.172
>Sequence21347	0.5	0.649
>Sequence21348	0.25	0.335
>Sequence21349	0.35	0.544
>Sequence21350	0.45	0.701
>Sequence21351	0.35	0.281
>Sequence21352	0.5	0.748
>Sequence21353	0.4	0.642
>Sequence21354	0.55	0.721
>Sequence21355	0.4	0.289
>Sequence21356	0.4	0.333
>Sequence21357	0.5	0.656
>Sequence21358	0.2	0.404
>Sequence21359	0.45	0.299
>Sequence21360	0.3	0.257
>Sequence21361	0.2	0.143
>Sequence21362	0.35	0.207
>Sequence21363	0.4	0.374
>Sequence21364	0.45	0.628
>Sequence21365	0.4	0.289
>Sequence21366	0.55	0.693
>Sequence21367	0.55	0.37
>Sequence21368	0.55	0.296
>Sequence21369	0.4	0.297
>Sequence21370	0.4	0.274
>Sequence21371	0.4	0.774
>Sequence21372	0.45	0.352
>Sequence21373	0.45	0.868
>Sequence21374	0.4	0.249
>Sequence21375	0.3	0.23
>Sequence21376	0.45	0.59
>Sequence21377	0.3	0.134
>Sequence21378	0.45	0.812
>Sequence21379	0.55	0.47
>Sequence21380	0.45	0.392
>Sequence21381	0.4	0.738
>Sequence21382	0.5	0.185
>Sequence21383	0.55	0.584
>Sequence21384	0.45	0.782
>Sequence21385	0.45	0.255
>Sequence21386	0.5	0.19
>Sequence21387	0.45	0.368
>Sequence21388	0.35	0.132
>Sequence21389	0.35	0.377
>Sequence21390	0.45	0.73
>Sequence21391	0.4	0.829
>Sequence21392	0.45	0.669
>Sequence21393	0.3	0.494
>Sequence21394	0.4	0.805
>Sequence21395	0.4	0.182
>Sequence21396	0.45	0.476
>Sequence21397	0.2	0.287
>Sequence21398	0.3	0.296
>Sequence21399	0.45	0.298
>Sequence21400	0.45	0.712
