Header	RF	SVM
>Sequence1701	0.4	0.46
>Sequence1702	0.35	0.286
>Sequence1703	0.4	0.143
>Sequence1704	0.45	0.621
>Sequence1705	0.45	0.649
>Sequence1706	0.45	0.269
>Sequence1707	0.5	0.192
>Sequence1708	0.5	0.297
>Sequence1709	0.6	0.357
>Sequence1710	0.5	0.501
>Sequence1711	0.45	0.669
>Sequence1712	0.6	0.263
>Sequence1713	0.45	0.189
>Sequence1714	0.55	0.794
>Sequence1715	0.45	0.737
>Sequence1716	0.3	0.219
>Sequence1717	0.4	0.763
>Sequence1718	0.3	0.524
>Sequence1719	0.4	0.715
>Sequence1720	0.45	0.756
>Sequence1721	0.35	0.718
>Sequence1722	0.4	0.418
>Sequence1723	0.45	0.658
>Sequence1724	0.3	0.109
>Sequence1725	0.4	0.273
>Sequence1726	0.35	0.562
>Sequence1727	0.55	0.27
>Sequence1728	0.5	0.262
>Sequence1729	0.25	0.571
>Sequence1730	0.5	0.343
>Sequence1731	0.45	0.557
>Sequence1732	0.35	0.7
>Sequence1733	0.4	0.267
>Sequence1734	0.45	0.23
>Sequence1735	0.4	0.431
>Sequence1736	0.45	0.236
>Sequence1737	0.45	0.289
>Sequence1738	0.45	0.799
>Sequence1739	0.5	0.279
>Sequence1740	0.45	0.14
>Sequence1741	0.25	0.181
>Sequence1742	0.45	0.728
>Sequence1743	0.45	0.285
>Sequence1744	0.3	0.415
>Sequence1745	0.4	0.769
>Sequence1746	0.6	0.208
>Sequence1747	0.55	0.2
>Sequence1748	0.35	0.192
>Sequence1749	0.35	0.703
>Sequence1750	0.35	0.395
>Sequence1751	0.5	0.451
>Sequence1752	0.45	0.182
>Sequence1753	0.4	0.401
>Sequence1754	0.45	0.797
>Sequence1755	0.45	0.684
>Sequence1756	0.45	0.797
>Sequence1757	0.4	0.452
>Sequence1758	0.55	0.263
>Sequence1759	0.5	0.242
>Sequence1760	0.55	0.282
>Sequence1761	0.35	0.241
>Sequence1762	0.4	0.71
>Sequence1763	0.5	0.75
>Sequence1764	0.55	0.187
>Sequence1765	0.4	0.058
>Sequence1766	0.35	0.798
>Sequence1767	0.35	0.227
>Sequence1768	0.4	0.306
>Sequence1769	0.45	0.782
>Sequence1770	0.5	0.165
>Sequence1771	0.55	0.207
>Sequence1772	0.45	0.199
>Sequence1773	0.45	0.806
>Sequence1774	0.5	0.275
>Sequence1775	0.45	0.613
>Sequence1776	0.45	0.245
>Sequence1777	0.45	0.402
>Sequence1778	0.35	0.452
>Sequence1779	0.4	0.636
>Sequence1780	0.45	0.707
>Sequence1781	0.45	0.732
>Sequence1782	0.45	0.367
>Sequence1783	0.5	0.818
>Sequence1784	0.45	0.11
>Sequence1785	0.55	0.351
>Sequence1786	0.6	0.248
>Sequence1787	0.45	0.27
>Sequence1788	0.45	0.776
>Sequence1789	0.35	0.386
>Sequence1790	0.35	0.445
>Sequence1791	0.4	0.213
>Sequence1792	0.45	0.108
>Sequence1793	0.5	0.427
>Sequence1794	0.45	0.446
>Sequence1795	0.45	0.801
>Sequence1796	0.45	0.515
>Sequence1797	0.4	0.816
>Sequence1798	0.5	0.248
>Sequence1799	0.35	0.414
>Sequence1800	0.45	0.395
