Header	RF	SVM
>Sequence14301	0.55	0.713
>Sequence14302	0.45	0.412
>Sequence14303	0.4	0.403
>Sequence14304	0.45	0.398
>Sequence14305	0.55	0.238
>Sequence14306	0.5	0.753
>Sequence14307	0.4	0.636
>Sequence14308	0.3	0.234
>Sequence14309	0.55	0.837
>Sequence14310	0.5	0.77
>Sequence14311	0.5	0.288
>Sequence14312	0.45	0.693
>Sequence14313	0.5	0.323
>Sequence14314	0.4	0.635
>Sequence14315	0.35	0.39
>Sequence14316	0.4	0.373
>Sequence14317	0.45	0.497
>Sequence14318	0.4	0.243
>Sequence14319	0.45	0.719
>Sequence14320	0.55	0.442
>Sequence14321	0.55	0.641
>Sequence14322	0.45	0.17
>Sequence14323	0.45	0.671
>Sequence14324	0.45	0.445
>Sequence14325	0.55	0.388
>Sequence14326	0.45	0.703
>Sequence14327	0.4	0.719
>Sequence14328	0.55	0.418
>Sequence14329	0.5	0.376
>Sequence14330	0.45	0.246
>Sequence14331	0.4	0.422
>Sequence14332	0.35	0.355
>Sequence14333	0.55	0.681
>Sequence14334	0.5	0.225
>Sequence14335	0.55	0.769
>Sequence14336	0.45	0.658
>Sequence14337	0.4	0.842
>Sequence14338	0.5	0.576
>Sequence14339	0.45	0.847
>Sequence14340	0.6	0.207
>Sequence14341	0.5	0.558
>Sequence14342	0.35	0.795
>Sequence14343	0.45	0.438
>Sequence14344	0.35	0.569
>Sequence14345	0.55	0.855
>Sequence14346	0.4	0.3
>Sequence14347	0.35	0.624
>Sequence14348	0.6	0.75
>Sequence14349	0.4	0.223
>Sequence14350	0.35	0.781
>Sequence14351	0.6	0.734
>Sequence14352	0.4	0.191
>Sequence14353	0.5	0.311
>Sequence14354	0.45	0.133
>Sequence14355	0.45	0.657
>Sequence14356	0.35	0.244
>Sequence14357	0.35	0.802
>Sequence14358	0.3	0.309
>Sequence14359	0.5	0.378
>Sequence14360	0.3	0.203
>Sequence14361	0.4	0.362
>Sequence14362	0.45	0.18
>Sequence14363	0.45	0.841
>Sequence14364	0.5	0.283
>Sequence14365	0.5	0.792
>Sequence14366	0.5	0.807
>Sequence14367	0.35	0.241
>Sequence14368	0.35	0.236
>Sequence14369	0.4	0.349
>Sequence14370	0.25	0.395
>Sequence14371	0.4	0.529
>Sequence14372	0.5	0.37
>Sequence14373	0.4	0.683
>Sequence14374	0.3	0.514
>Sequence14375	0.4	0.7
>Sequence14376	0.45	0.704
>Sequence14377	0.4	0.288
>Sequence14378	0.45	0.584
>Sequence14379	0.45	0.767
>Sequence14380	0.35	0.21
>Sequence14381	0.5	0.496
>Sequence14382	0.5	0.789
>Sequence14383	0.45	0.286
>Sequence14384	0.45	0.296
>Sequence14385	0.45	0.249
>Sequence14386	0.3	0.158
>Sequence14387	0.45	0.749
>Sequence14388	0.45	0.756
>Sequence14389	0.4	0.377
>Sequence14390	0.25	0.3
>Sequence14391	0.55	0.414
>Sequence14392	0.4	0.645
>Sequence14393	0.4	0.225
>Sequence14394	0.3	0.158
>Sequence14395	0.5	0.773
>Sequence14396	0.35	0.505
>Sequence14397	0.5	0.824
>Sequence14398	0.5	0.775
>Sequence14399	0.45	0.534
>Sequence14400	0.5	0.225
