Header	RF	SVM
>Sequence701	0.45	0.629
>Sequence702	0.45	0.556
>Sequence703	0.55	0.361
>Sequence704	0.55	0.733
>Sequence705	0.4	0.784
>Sequence706	0.4	0.164
>Sequence707	0.55	0.262
>Sequence708	0.5	0.584
>Sequence709	0.4	0.159
>Sequence710	0.45	0.608
>Sequence711	0.55	0.412
>Sequence712	0.4	0.681
>Sequence713	0.45	0.81
>Sequence714	0.55	0.338
>Sequence715	0.45	0.695
>Sequence716	0.4	0.587
>Sequence717	0.3	0.147
>Sequence718	0.4	0.246
>Sequence719	0.15	0.114
>Sequence720	0.5	0.338
>Sequence721	0.55	0.77
>Sequence722	0.4	0.194
>Sequence723	0.45	0.52
>Sequence724	0.5	0.234
>Sequence725	0.25	0.256
>Sequence726	0.35	0.355
>Sequence727	0.45	0.318
>Sequence728	0.5	0.525
>Sequence729	0.4	0.641
>Sequence730	0.3	0.209
>Sequence731	0.4	0.765
>Sequence732	0.45	0.73
>Sequence733	0.45	0.524
>Sequence734	0.45	0.223
>Sequence735	0.45	0.336
>Sequence736	0.45	0.708
>Sequence737	0.35	0.246
>Sequence738	0.45	0.343
>Sequence739	0.45	0.27
>Sequence740	0.3	0.414
>Sequence741	0.55	0.281
>Sequence742	0.4	0.284
>Sequence743	0.45	0.772
>Sequence744	0.35	0.212
>Sequence745	0.35	0.456
>Sequence746	0.45	0.16
>Sequence747	0.5	0.72
>Sequence748	0.35	0.781
>Sequence749	0.4	0.702
>Sequence750	0.5	0.283
>Sequence751	0.45	0.37
>Sequence752	0.5	0.557
>Sequence753	0.4	0.223
>Sequence754	0.5	0.153
>Sequence755	0.4	0.787
>Sequence756	0.4	0.238
>Sequence757	0.45	0.697
>Sequence758	0.4	0.714
>Sequence759	0.45	0.304
>Sequence760	0.5	0.473
>Sequence761	0.2	0.051
>Sequence762	0.4	0.545
>Sequence763	0.45	0.219
>Sequence764	0.4	0.2
>Sequence765	0.4	0.081
>Sequence766	0.45	0.616
>Sequence767	0.55	0.393
>Sequence768	0.45	0.547
>Sequence769	0.4	0.693
>Sequence770	0.35	0.592
>Sequence771	0.45	0.06
>Sequence772	0.55	0.155
>Sequence773	0.45	0.684
>Sequence774	0.35	0.118
>Sequence775	0.4	0.157
>Sequence776	0.5	0.375
>Sequence777	0.4	0.146
>Sequence778	0.4	0.211
>Sequence779	0.35	0.143
>Sequence780	0.6	0.369
>Sequence781	0.5	0.324
>Sequence782	0.4	0.338
>Sequence783	0.45	0.462
>Sequence784	0.45	0.126
>Sequence785	0.5	0.786
>Sequence786	0.45	0.305
>Sequence787	0.35	0.565
>Sequence788	0.4	0.273
>Sequence789	0.5	0.367
>Sequence790	0.35	0.174
>Sequence791	0.45	0.728
>Sequence792	0.3	0.232
>Sequence793	0.5	0.166
>Sequence794	0.55	0.169
>Sequence795	0.3	0.418
>Sequence796	0.45	0.79
>Sequence797	0.4	0.776
>Sequence798	0.45	0.698
>Sequence799	0.45	0.576
>Sequence800	0.45	0.312
