Header	RF	SVM
>Sequence13201	0.65	0.404
>Sequence13202	0.5	0.797
>Sequence13203	0.35	0.375
>Sequence13204	0.4	0.554
>Sequence13205	0.5	0.833
>Sequence13206	0.55	0.758
>Sequence13207	0.4	0.559
>Sequence13208	0.45	0.812
>Sequence13209	0.45	0.729
>Sequence13210	0.35	0.658
>Sequence13211	0.45	0.778
>Sequence13212	0.45	0.763
>Sequence13213	0.5	0.238
>Sequence13214	0.45	0.394
>Sequence13215	0.35	0.263
>Sequence13216	0.35	0.794
>Sequence13217	0.4	0.815
>Sequence13218	0.25	0.322
>Sequence13219	0.3	0.731
>Sequence13220	0.45	0.655
>Sequence13221	0.4	0.767
>Sequence13222	0.45	0.779
>Sequence13223	0.4	0.521
>Sequence13224	0.45	0.354
>Sequence13225	0.35	0.333
>Sequence13226	0.55	0.802
>Sequence13227	0.4	0.594
>Sequence13228	0.45	0.273
>Sequence13229	0.4	0.433
>Sequence13230	0.3	0.439
>Sequence13231	0.5	0.561
>Sequence13232	0.35	0.701
>Sequence13233	0.4	0.262
>Sequence13234	0.45	0.731
>Sequence13235	0.4	0.261
>Sequence13236	0.55	0.225
>Sequence13237	0.5	0.825
>Sequence13238	0.25	0.472
>Sequence13239	0.55	0.268
>Sequence13240	0.4	0.558
>Sequence13241	0.35	0.436
>Sequence13242	0.45	0.753
>Sequence13243	0.35	0.326
>Sequence13244	0.3	0.201
>Sequence13245	0.55	0.472
>Sequence13246	0.4	0.362
>Sequence13247	0.5	0.816
>Sequence13248	0.45	0.747
>Sequence13249	0.5	0.779
>Sequence13250	0.6	0.263
>Sequence13251	0.35	0.542
>Sequence13252	0.45	0.355
>Sequence13253	0.45	0.739
>Sequence13254	0.5	0.815
>Sequence13255	0.35	0.182
>Sequence13256	0.4	0.219
>Sequence13257	0.45	0.62
>Sequence13258	0.5	0.634
>Sequence13259	0.4	0.823
>Sequence13260	0.35	0.285
>Sequence13261	0.35	0.484
>Sequence13262	0.45	0.792
>Sequence13263	0.45	0.636
>Sequence13264	0.45	0.804
>Sequence13265	0.45	0.252
>Sequence13266	0.45	0.32
>Sequence13267	0.5	0.303
>Sequence13268	0.4	0.304
>Sequence13269	0.5	0.257
>Sequence13270	0.45	0.553
>Sequence13271	0.4	0.345
>Sequence13272	0.5	0.799
>Sequence13273	0.45	0.793
>Sequence13274	0.5	0.14
>Sequence13275	0.45	0.127
>Sequence13276	0.45	0.206
>Sequence13277	0.55	0.781
>Sequence13278	0.5	0.781
>Sequence13279	0.45	0.734
>Sequence13280	0.45	0.681
>Sequence13281	0.4	0.786
>Sequence13282	0.35	0.181
>Sequence13283	0.35	0.18
>Sequence13284	0.4	0.26
>Sequence13285	0.45	0.736
>Sequence13286	0.4	0.501
>Sequence13287	0.55	0.688
>Sequence13288	0.4	0.388
>Sequence13289	0.4	0.536
>Sequence13290	0.5	0.796
>Sequence13291	0.45	0.271
>Sequence13292	0.3	0.354
>Sequence13293	0.4	0.362
>Sequence13294	0.3	0.537
>Sequence13295	0.5	0.194
>Sequence13296	0.4	0.701
>Sequence13297	0.5	0.572
>Sequence13298	0.3	0.31
>Sequence13299	0.4	0.61
>Sequence13300	0.4	0.782
