Header	RF	SVM
>Sequence9901	0.45	0.7
>Sequence9902	0.4	0.188
>Sequence9903	0.4	0.727
>Sequence9904	0.35	0.772
>Sequence9905	0.4	0.408
>Sequence9906	0.45	0.299
>Sequence9907	0.4	0.298
>Sequence9908	0.5	0.461
>Sequence9909	0.55	0.319
>Sequence9910	0.45	0.698
>Sequence9911	0.5	0.597
>Sequence9912	0.4	0.599
>Sequence9913	0.5	0.783
>Sequence9914	0.4	0.201
>Sequence9915	0.4	0.127
>Sequence9916	0.45	0.148
>Sequence9917	0.5	0.332
>Sequence9918	0.45	0.73
>Sequence9919	0.4	0.774
>Sequence9920	0.45	0.672
>Sequence9921	0.55	0.251
>Sequence9922	0.4	0.459
>Sequence9923	0.45	0.135
>Sequence9924	0.5	0.785
>Sequence9925	0.35	0.689
>Sequence9926	0.55	0.668
>Sequence9927	0.5	0.299
>Sequence9928	0.55	0.249
>Sequence9929	0.45	0.31
>Sequence9930	0.45	0.762
>Sequence9931	0.5	0.784
>Sequence9932	0.45	0.729
>Sequence9933	0.55	0.735
>Sequence9934	0.5	0.761
>Sequence9935	0.55	0.8
>Sequence9936	0.5	0.266
>Sequence9937	0.5	0.305
>Sequence9938	0.5	0.591
>Sequence9939	0.45	0.216
>Sequence9940	0.45	0.466
>Sequence9941	0.4	0.752
>Sequence9942	0.45	0.326
>Sequence9943	0.4	0.608
>Sequence9944	0.35	0.184
>Sequence9945	0.45	0.732
>Sequence9946	0.5	0.465
>Sequence9947	0.45	0.755
>Sequence9948	0.45	0.122
>Sequence9949	0.55	0.797
>Sequence9950	0.4	0.737
>Sequence9951	0.45	0.711
>Sequence9952	0.6	0.441
>Sequence9953	0.4	0.258
>Sequence9954	0.35	0.508
>Sequence9955	0.45	0.775
>Sequence9956	0.5	0.2
>Sequence9957	0.55	0.119
>Sequence9958	0.4	0.808
>Sequence9959	0.4	0.734
>Sequence9960	0.45	0.025
>Sequence9961	0.45	0.693
>Sequence9962	0.55	0.269
>Sequence9963	0.35	0.598
>Sequence9964	0.4	0.583
>Sequence9965	0.45	0.344
>Sequence9966	0.55	0.751
>Sequence9967	0.2	0.185
>Sequence9968	0.45	0.689
>Sequence9969	0.4	0.511
>Sequence9970	0.55	0.393
>Sequence9971	0.35	0.61
>Sequence9972	0.55	0.387
>Sequence9973	0.6	0.491
>Sequence9974	0.4	0.706
>Sequence9975	0.4	0.611
>Sequence9976	0.45	0.77
>Sequence9977	0.45	0.558
>Sequence9978	0.5	0.751
>Sequence9979	0.3	0.656
>Sequence9980	0.45	0.225
>Sequence9981	0.4	0.772
>Sequence9982	0.35	0.215
>Sequence9983	0.45	0.638
>Sequence9984	0.45	0.677
>Sequence9985	0.5	0.759
>Sequence9986	0.6	0.422
>Sequence9987	0.45	0.059
>Sequence9988	0.5	0.645
>Sequence9989	0.35	0.627
>Sequence9990	0.5	0.372
>Sequence9991	0.3	0.357
>Sequence9992	0.45	0.8
>Sequence9993	0.45	0.788
>Sequence9994	0.4	0.217
>Sequence9995	0.45	0.642
>Sequence9996	0.5	0.2
>Sequence9997	0.4	0.645
>Sequence9998	0.4	0.7
>Sequence9999	0.55	0.168
>Sequence10000	0.5	0.401
