Header	RF	SVM
>Sequence7401	0.6	0.259
>Sequence7402	0.5	0.242
>Sequence7403	0.45	0.802
>Sequence7404	0.55	0.183
>Sequence7405	0.4	0.745
>Sequence7406	0.45	0.721
>Sequence7407	0.55	0.27
>Sequence7408	0.45	0.688
>Sequence7409	0.45	0.381
>Sequence7410	0.45	0.318
>Sequence7411	0.55	0.271
>Sequence7412	0.4	0.214
>Sequence7413	0.5	0.741
>Sequence7414	0.45	0.655
>Sequence7415	0.45	0.329
>Sequence7416	0.45	0.227
>Sequence7417	0.4	0.144
>Sequence7418	0.35	0.494
>Sequence7419	0.5	0.355
>Sequence7420	0.3	0.195
>Sequence7421	0.45	0.808
>Sequence7422	0.4	0.753
>Sequence7423	0.4	0.177
>Sequence7424	0.5	0.161
>Sequence7425	0.45	0.546
>Sequence7426	0.45	0.326
>Sequence7427	0.5	0.784
>Sequence7428	0.4	0.811
>Sequence7429	0.5	0.312
>Sequence7430	0.45	0.772
>Sequence7431	0.45	0.282
>Sequence7432	0.45	0.334
>Sequence7433	0.4	0.19
>Sequence7434	0.55	0.648
>Sequence7435	0.4	0.16
>Sequence7436	0.4	0.781
>Sequence7437	0.45	0.878
>Sequence7438	0.5	0.746
>Sequence7439	0.4	0.724
>Sequence7440	0.3	0.389
>Sequence7441	0.45	0.154
>Sequence7442	0.5	0.694
>Sequence7443	0.55	0.787
>Sequence7444	0.5	0.741
>Sequence7445	0.4	0.459
>Sequence7446	0.45	0.759
>Sequence7447	0.35	0.225
>Sequence7448	0.45	0.82
>Sequence7449	0.55	0.778
>Sequence7450	0.4	0.259
>Sequence7451	0.35	0.694
>Sequence7452	0.45	0.685
>Sequence7453	0.25	0.453
>Sequence7454	0.6	0.243
>Sequence7455	0.45	0.76
>Sequence7456	0.45	0.384
>Sequence7457	0.45	0.569
>Sequence7458	0.45	0.802
>Sequence7459	0.45	0.554
>Sequence7460	0.5	0.743
>Sequence7461	0.4	0.289
>Sequence7462	0.45	0.131
>Sequence7463	0.5	0.832
>Sequence7464	0.5	0.37
>Sequence7465	0.45	0.754
>Sequence7466	0.3	0.241
>Sequence7467	0.35	0.768
>Sequence7468	0.3	0.492
>Sequence7469	0.6	0.321
>Sequence7470	0.5	0.129
>Sequence7471	0.35	0.449
>Sequence7472	0.3	0.567
>Sequence7473	0.45	0.787
>Sequence7474	0.3	0.821
>Sequence7475	0.4	0.196
>Sequence7476	0.4	0.707
>Sequence7477	0.35	0.798
>Sequence7478	0.4	0.337
>Sequence7479	0.5	0.237
>Sequence7480	0.45	0.197
>Sequence7481	0.35	0.648
>Sequence7482	0.35	0.264
>Sequence7483	0.4	0.694
>Sequence7484	0.5	0.337
>Sequence7485	0.45	0.19
>Sequence7486	0.4	0.55
>Sequence7487	0.5	0.724
>Sequence7488	0.4	0.288
>Sequence7489	0.5	0.791
>Sequence7490	0.45	0.738
>Sequence7491	0.35	0.342
>Sequence7492	0.3	0.349
>Sequence7493	0.35	0.299
>Sequence7494	0.4	0.199
>Sequence7495	0.4	0.653
>Sequence7496	0.45	0.199
>Sequence7497	0.5	0.438
>Sequence7498	0.35	0.332
>Sequence7499	0.45	0.723
>Sequence7500	0.45	0.458
